timestamp,repetition,size_bytes,avg rtt,throughput
18:47:52.650,1,1,2.16,7.41
18:47:54.187,1,4,2.17,29.52
18:47:55.721,1,16,2.16,118.35
18:47:57.254,1,64,2.76,371.01
18:47:58.787,1,256,2.89,1419.27
18:48:00.321,1,1024,3.10,5291.99
18:48:01.855,1,4096,3.61,18164.08
18:48:03.390,1,16384,4.89,53553.42
18:48:04.930,1,65536,9.62,108954.28
18:48:06.489,1,262144,27.31,153581.25
18:48:08.123,1,1048576,102.42,163812.80

18:48:09.656,2,1,2.17,7.39
18:48:11.188,2,4,2.17,29.55
18:48:12.721,2,16,2.16,118.30
18:48:14.255,2,64,3.32,308.16
18:48:15.788,2,256,3.43,1194.52
18:48:17.323,2,1024,3.67,4461.87
18:48:18.857,2,4096,4.20,15622.41
18:48:20.393,2,16384,5.48,47853.96
18:48:21.933,2,65536,10.02,104669.20
18:48:23.491,2,262144,27.86,150543.91
18:48:25.125,2,1048576,103.09,162737.07

18:48:26.659,3,1,2.18,7.35
18:48:28.191,3,4,2.17,29.51
18:48:29.723,3,16,2.19,116.63
18:48:31.256,3,64,3.34,306.77
18:48:32.789,3,256,3.50,1171.62
18:48:34.323,3,1024,3.69,4441.31
18:48:35.856,3,4096,4.28,15319.31
18:48:37.391,3,16384,5.42,48392.84
18:48:38.932,3,65536,10.04,104481.47
18:48:40.490,3,262144,27.69,151473.60
18:48:42.124,3,1048576,102.76,163269.20

18:48:43.655,4,1,2.22,7.20
18:48:45.187,4,4,2.16,29.62
18:48:46.719,4,16,2.15,119.01
18:48:48.252,4,64,3.36,304.40
18:48:49.787,4,256,3.48,1176.34
18:48:51.320,4,1024,3.71,4417.36
18:48:52.855,4,4096,4.29,15287.15
18:48:54.390,4,16384,5.44,48188.24
18:48:55.930,4,65536,9.97,105162.57
18:48:57.488,4,262144,27.57,152110.83
18:48:59.122,4,1048576,102.90,163040.72

18:49:00.654,5,1,2.17,7.36
18:49:02.185,5,4,2.16,29.67
18:49:03.717,5,16,2.22,115.26
18:49:05.250,5,64,3.34,306.95
18:49:06.783,5,256,3.47,1180.40
18:49:08.316,5,1024,3.70,4430.50
18:49:09.851,5,4096,4.25,15416.61
18:49:11.386,5,16384,4.96,52819.67
18:49:12.926,5,65536,9.67,108391.15
18:49:14.484,5,262144,27.21,154157.01
18:49:16.117,5,1048576,102.19,164175.08

18:49:17.649,6,1,1.89,8.48
18:49:19.181,6,4,1.90,33.68
18:49:20.713,6,16,1.85,138.23
18:49:22.247,6,64,2.78,368.61
18:49:23.780,6,256,2.87,1426.18
18:49:25.313,6,1024,3.13,5231.16
18:49:26.847,6,4096,3.56,18434.88
18:49:28.381,6,16384,4.77,54991.40
18:49:29.922,6,65536,9.53,109971.26
18:49:31.479,6,262144,27.11,154731.40
18:49:33.114,6,1048576,102.12,164281.18

18:49:34.647,7,1,1.84,8.70
18:49:36.179,7,4,1.86,34.37
18:49:37.711,7,16,1.84,138.98
18:49:39.245,7,64,2.74,374.13
18:49:40.778,7,256,2.89,1416.81
18:49:42.312,7,1024,3.16,5189.74
18:49:43.845,7,4096,3.52,18607.61
18:49:45.381,7,16384,4.76,55049.14
18:49:46.921,7,65536,9.60,109215.29
18:49:48.480,7,262144,27.17,154366.94
18:49:50.114,7,1048576,102.18,164197.58

18:49:51.647,8,1,1.95,8.23
18:49:53.179,8,4,1.86,34.46
18:49:54.712,8,16,1.86,138.01
18:49:56.245,8,64,2.82,362.73
18:49:57.778,8,256,2.85,1438.71
18:49:59.312,8,1024,3.12,5247.92
18:50:00.847,8,4096,3.68,17803.86
18:50:02.382,8,16384,4.83,54296.60
18:50:03.922,8,65536,9.49,110504.37
18:50:05.480,8,262144,27.16,154418.08
18:50:07.114,8,1048576,102.30,164003.36

18:50:08.646,9,1,1.94,8.23
18:50:10.178,9,4,1.88,34.02
18:50:11.720,9,16,1.90,134.52
18:50:13.253,9,64,2.76,370.48
18:50:14.786,9,256,2.92,1400.34
18:50:16.319,9,1024,3.11,5274.95
18:50:17.853,9,4096,3.56,18408.99
18:50:19.389,9,16384,4.92,53248.83
18:50:20.930,9,65536,9.57,109591.97
18:50:22.488,9,262144,27.15,154509.10
18:50:24.122,9,1048576,102.33,163955.28

18:50:25.654,10,1,1.85,8.64
18:50:27.186,10,4,1.92,33.35
18:50:28.719,10,16,1.85,138.08
18:50:30.253,10,64,2.79,367.29
18:50:31.785,10,256,2.88,1424.20
18:50:33.319,10,1024,3.15,5197.97
18:50:34.852,10,4096,3.61,18148.99
18:50:36.388,10,16384,4.88,53696.03
18:50:37.928,10,65536,9.50,110341.58
18:50:39.486,10,262144,27.14,154537.56
18:50:41.120,10,1048576,101.99,164498.64

