timestamp,repetition,bandwidth,stddev,msg_size
18:57:50.583,1,4.04,0.01,1024
18:57:52.721,1,7.12,0.02,2048
18:57:55.023,1,5.42,0.01,4096
18:57:57.072,1,8.52,0.04,8192
18:57:59.063,1,9.81,0.04,16384
18:58:01.068,1,9.52,0.07,32768
18:58:03.072,1,9.54,0.03,65536
18:58:05.666,1,3.97,0.84,131072
18:58:07.935,1,6.19,1.70,262144
18:58:10.674,1,3.34,0.21,524288
18:58:12.857,1,6.97,1.52,1048576

18:58:15.788,2,2.84,0.00,1024
18:58:18.093,2,5.40,0.01,2048
18:58:20.398,2,5.40,0.01,4096
18:58:22.600,2,6.35,0.04,8192
18:58:24.725,2,7.29,0.04,16384
18:58:26.818,2,7.79,0.04,32768
18:58:28.812,2,9.82,0.04,65536
18:58:31.060,2,6.55,1.97,131072
18:58:33.746,2,3.55,0.45,262144
18:58:35.848,2,7.82,1.03,524288
18:58:37.962,2,7.63,1.08,1048576

18:58:40.530,3,3.91,0.01,1024
18:58:42.653,3,7.31,0.02,2048
18:58:44.962,3,5.35,0.01,4096
18:58:47.000,3,8.79,0.04,8192
18:58:48.984,3,10.05,0.05,16384
18:58:50.958,3,10.31,0.05,32768
18:58:52.934,3,10.23,0.04,65536
18:58:55.140,3,6.56,1.35,131072
18:58:57.242,3,7.77,0.98,262144
18:58:59.332,3,8.02,1.06,524288
18:59:01.432,3,7.83,1.05,1048576

18:59:03.974,4,4.02,0.01,1024
18:59:06.108,4,7.15,0.01,2048
18:59:08.239,4,7.18,0.01,4096
18:59:10.274,4,8.80,0.03,8192
18:59:12.254,4,10.09,0.04,16384
18:59:14.243,4,9.88,0.03,32768
18:59:16.204,4,10.64,0.05,65536
18:59:18.300,4,7.87,1.00,131072
18:59:20.400,4,7.80,0.98,262144
18:59:22.515,4,7.67,1.13,524288
18:59:24.629,4,7.70,1.19,1048576

18:59:27.191,5,3.93,0.01,1024
18:59:29.326,5,7.13,0.02,2048
18:59:31.644,5,5.32,0.01,4096
18:59:33.789,5,7.03,0.01,8192
18:59:35.813,5,9.10,0.03,16384
18:59:37.928,5,7.46,0.07,32768
18:59:39.918,5,9.96,0.05,65536
18:59:42.039,5,7.73,1.41,131072
18:59:44.731,5,3.57,0.64,262144
18:59:46.842,5,7.68,1.08,524288
18:59:48.929,5,7.94,0.66,1048576

18:59:51.486,6,3.96,0.00,1024
18:59:53.610,6,7.31,0.02,2048
18:59:55.727,6,7.39,0.01,4096
18:59:57.762,6,8.81,0.03,8192
18:59:59.751,6,9.87,0.05,16384
19:00:01.729,6,10.19,0.05,32768
19:00:03.698,6,10.45,0.04,65536
19:00:05.839,6,7.42,1.43,131072
19:00:07.938,6,7.79,0.92,262144
19:00:10.034,6,7.81,0.86,524288
19:00:12.162,6,7.48,1.18,1048576

19:00:15.101,7,2.83,0.01,1024
19:00:17.429,7,5.24,0.01,2048
19:00:19.749,7,5.30,0.01,4096
19:00:21.906,7,6.87,0.01,8192
19:00:23.932,7,9.06,0.02,16384
19:00:26.024,7,7.80,0.05,32768
19:00:28.080,7,8.44,0.03,65536
19:00:30.232,7,7.37,1.53,131072
19:00:32.367,7,7.47,1.25,262144
19:00:35.113,7,3.34,0.36,524288
19:00:37.320,7,6.79,1.69,1048576

19:00:40.241,8,2.86,0.00,1024
19:00:42.544,8,5.42,0.01,2048
19:00:44.854,8,5.36,0.01,4096
19:00:47.001,8,6.99,0.02,8192
19:00:49.020,8,9.20,0.03,16384
19:00:51.033,8,9.32,0.03,32768
19:00:53.087,8,8.48,0.02,65536
19:00:55.252,8,7.19,1.50,131072
19:00:57.964,8,3.45,0.43,262144
19:01:00.146,8,7.06,1.62,524288
19:01:02.373,8,6.52,1.55,1048576

19:01:05.376,9,2.69,0.00,1024
19:01:07.712,9,5.17,0.02,2048
19:01:10.014,9,5.43,0.01,4096
19:01:12.218,9,6.33,0.03,8192
19:01:14.236,9,9.25,0.03,16384
19:01:16.334,9,7.72,0.04,32768
19:01:18.326,9,9.85,0.03,65536
19:01:20.492,9,7.24,1.70,131072
19:01:22.714,9,6.57,1.57,262144
19:01:25.233,9,4.29,0.87,524288
19:01:27.520,9,6.11,1.78,1048576

19:01:30.427,10,2.89,0.00,1024
19:01:32.751,10,5.26,0.00,2048
19:01:35.046,10,5.49,0.01,4096
19:01:37.252,10,6.32,0.02,8192
19:01:39.272,10,9.18,0.03,16384
19:01:41.283,10,9.38,0.03,32768
19:01:43.273,10,9.88,0.04,65536
19:01:45.463,10,6.94,1.59,131072
19:01:47.668,10,6.71,1.52,262144
19:01:50.367,10,3.50,0.42,524288
19:01:52.862,10,4.41,0.88,1048576

19:01:55.797,11,2.83,0.00,1024
19:01:58.138,11,5.14,0.01,2048
19:02:00.449,11,5.35,0.01,4096
19:02:02.606,11,6.87,0.01,8192
19:02:04.621,11,9.29,0.02,16384
19:02:06.633,11,9.37,0.02,32768
19:02:08.680,11,8.62,0.03,65536
19:02:11.226,11,4.22,1.03,131072
19:02:13.742,11,4.30,0.83,262144
19:02:16.445,11,3.47,0.33,524288
19:02:19.118,11,3.58,0.42,1048576

19:02:22.038,12,2.87,0.00,1024
19:02:24.379,12,5.15,0.02,2048
