timestamp,repetition,bandwidth,stddev,msg_size
23:19:30.055,1,2.87,0.00,1024
23:19:32.203,1,7.07,0.01,2048
23:19:34.520,1,5.35,0.02,4096
23:19:36.682,1,6.84,0.02,8192
23:19:38.706,1,9.17,0.03,16384
23:19:40.715,1,9.50,0.04,32768
23:19:42.767,1,8.59,0.03,65536
23:19:45.056,1,6.02,1.68,131072
23:19:47.173,1,7.75,1.15,262144
23:19:49.372,1,6.47,0.47,524288
23:19:51.454,1,8.07,0.69,1048576

23:19:54.013,2,3.97,0.01,1024
23:19:56.155,2,7.09,0.02,2048
23:19:58.282,2,7.32,0.02,4096
23:20:00.329,2,8.71,0.05,8192
23:20:02.339,2,9.47,0.05,16384
23:20:04.318,2,10.31,0.05,32768
23:20:06.293,2,10.37,0.05,65536
23:20:08.356,2,8.41,0.66,131072
23:20:10.463,2,7.84,1.07,262144
23:20:12.544,2,8.20,0.98,524288
23:20:14.656,2,7.75,1.09,1048576

23:20:17.209,3,4.00,0.00,1024
23:20:19.343,3,7.22,0.10,2048
23:20:21.460,3,7.46,0.02,4096
23:20:23.499,3,8.84,0.03,8192
23:20:25.531,3,8.95,0.02,16384
23:20:27.543,3,9.43,0.03,32768
23:20:29.542,3,9.74,0.07,65536
23:20:31.771,3,6.68,1.83,131072
23:20:33.899,3,7.52,1.08,262144
23:20:36.061,3,7.33,1.57,524288
23:20:38.228,3,7.27,1.58,1048576

23:20:41.165,4,2.83,0.01,1024
23:20:43.473,4,5.40,0.02,2048
23:20:45.787,4,5.36,0.01,4096
23:20:47.988,4,6.40,0.02,8192
23:20:50.017,4,9.05,0.03,16384
23:20:52.026,4,9.48,0.04,32768
23:20:54.024,4,9.74,0.03,65536
23:20:56.288,4,6.19,1.59,131072
23:20:58.521,4,6.60,1.69,262144
23:21:00.779,4,6.46,1.90,524288
23:21:03.017,4,6.51,1.70,1048576

23:21:05.927,5,2.89,0.01,1024
23:21:08.234,5,5.40,0.01,2048
23:21:10.532,5,5.49,0.02,4096
23:21:12.691,5,6.89,0.02,8192
23:21:14.730,5,8.80,0.02,16384
23:21:16.742,5,9.43,0.03,32768
23:21:18.796,5,8.53,0.04,65536
23:21:20.987,5,6.95,1.62,131072
23:21:23.235,5,6.39,1.67,262144
23:21:25.477,5,6.37,1.52,524288
23:21:27.708,5,6.41,1.39,1048576

23:21:30.644,6,2.84,0.00,1024
23:21:32.961,6,5.33,0.01,2048
23:21:35.267,6,5.42,0.01,4096
23:21:37.438,6,6.72,0.02,8192
23:21:39.475,6,8.87,0.03,16384
23:21:41.489,6,9.34,0.04,32768
23:21:43.482,6,9.86,0.04,65536
23:21:45.635,6,7.31,1.39,131072
23:21:47.740,6,7.79,0.99,262144
23:21:50.014,6,6.38,1.97,524288
23:21:52.237,6,6.55,1.57,1048576

23:21:55.157,7,2.87,0.00,1024
23:21:57.489,7,5.23,0.01,2048
23:21:59.813,7,5.27,0.01,4096
23:22:01.987,7,6.68,0.02,8192
23:22:04.009,7,9.17,0.03,16384
23:22:06.023,7,9.45,0.02,32768
23:22:08.016,7,9.86,0.03,65536
23:22:10.195,7,7.14,1.69,131072
23:22:12.239,7,8.83,0.79,262144
23:22:14.427,7,7.02,1.61,524288
23:22:16.607,7,7.19,1.67,1048576

23:22:19.530,8,2.86,0.00,1024
23:22:21.837,8,5.40,0.01,2048
23:22:24.134,8,5.49,0.01,4096
23:22:26.292,8,6.89,0.02,8192
23:22:28.331,8,8.84,0.03,16384
23:22:30.342,8,9.44,0.03,32768
23:22:32.336,8,9.82,0.03,65536
23:22:34.534,8,6.96,1.68,131072
23:22:36.755,8,6.67,1.63,262144
23:22:38.894,8,7.48,1.33,524288
23:22:40.994,8,7.90,1.09,1048576

23:22:43.535,9,4.04,0.01,1024
23:22:45.696,9,6.86,0.01,2048
23:22:47.824,9,7.31,0.01,4096
23:22:49.980,9,6.92,0.02,8192
23:22:52.010,9,9.00,0.02,16384
23:22:54.022,9,9.40,0.04,32768
23:22:56.018,9,9.81,0.04,65536
23:22:58.141,9,7.65,1.23,131072
23:23:00.521,9,5.32,1.58,262144
23:23:02.642,9,7.68,1.29,524288
23:23:04.864,9,6.66,1.68,1048576

23:23:07.809,10,2.82,0.00,1024
23:23:10.162,10,5.07,0.02,2048
23:23:12.474,10,5.38,0.01,4096
23:23:14.644,10,6.73,0.01,8192
23:23:16.669,10,9.08,0.03,16384
23:23:18.684,10,9.33,0.03,32768
23:23:20.673,10,9.95,0.03,65536
23:23:23.004,10,5.85,1.97,131072
23:23:25.683,10,3.58,0.47,262144
23:23:27.803,10,7.59,1.02,524288
23:23:29.883,10,8.10,0.51,1048576

