timestamp,repetition,size_bytes,avg rtt,min,max,stddev
17:57:31.676,1,1,3.282,3.190,8.340,0.283
17:57:33.231,1,4,2.735,2.610,13.280,0.431
17:57:34.783,1,16,2.743,2.590,10.210,0.315
17:57:36.334,1,64,3.174,3.010,11.680,0.401
17:57:37.887,1,256,3.865,3.740,8.600,0.306
17:57:39.441,1,1024,4.180,4.020,13.900,0.484
17:57:40.999,1,4096,5.463,5.300,13.840,0.403
17:57:42.559,1,16384,10.812,9.640,62.710,1.947
17:57:44.135,1,65536,14.139,12.848,25.450,0.687
17:57:45.752,1,262144,68.216,63.910,96.650,3.308
17:57:47.558,1,1048576,256.348,242.081,317.161,6.619

17:57:49.108,2,1,2.779,2.610,48.060,1.476
17:57:50.659,2,4,2.790,2.610,61.870,1.881
17:57:52.211,2,16,2.722,2.600,7.140,0.245
17:57:53.762,2,64,3.165,2.990,13.120,0.479
17:57:55.314,2,256,3.315,3.160,9.930,0.331
17:57:56.865,2,1024,3.502,3.300,8.660,0.296
17:57:58.419,2,4096,4.867,4.700,9.620,0.288
17:57:59.975,2,16384,8.816,7.880,15.010,0.557
17:58:01.546,2,65536,22.037,20.290,27.990,0.783
17:58:03.161,2,262144,43.469,40.053,54.338,1.281
17:58:04.970,2,1048576,258.862,230.411,642.802,26.120

17:58:06.521,3,1,2.727,2.610,6.060,0.183
17:58:08.071,3,4,2.726,2.600,9.940,0.309
17:58:09.622,3,16,2.720,2.610,7.620,0.227
17:58:11.173,3,64,2.037,1.923,5.678,0.212
17:58:12.731,3,256,3.314,3.130,13.650,0.429
17:58:14.283,3,1024,3.607,3.450,10.880,0.342
17:58:15.836,3,4096,4.857,4.680,11.650,0.341
17:58:17.393,3,16384,8.967,7.890,56.850,1.586
17:58:18.963,3,65536,21.530,19.950,36.750,1.036
17:58:20.581,3,262144,69.322,63.810,99.300,2.991
17:58:22.387,3,1048576,255.722,230.451,662.372,25.483

17:58:23.938,4,1,2.726,2.600,6.950,0.241
17:58:25.488,4,4,2.718,2.590,8.100,0.264
17:58:27.039,4,16,2.722,2.590,7.110,0.255
17:58:28.591,4,64,3.145,2.990,7.850,0.268
17:58:30.143,4,256,3.298,3.140,9.130,0.298
17:58:31.695,4,1024,3.601,3.450,7.400,0.260
17:58:33.248,4,4096,4.870,4.690,10.760,0.354
17:58:34.805,4,16384,8.923,7.970,62.240,1.771
17:58:36.375,4,65536,22.337,20.640,32.480,0.915
17:58:37.991,4,262144,67.263,63.220,88.390,2.660
17:58:39.786,4,1048576,150.085,143.675,173.210,4.126

17:58:41.338,5,1,2.711,2.570,7.600,0.258
17:58:42.888,5,4,2.719,2.570,10.250,0.316
17:58:44.439,5,16,1.764,1.688,3.817,0.113
17:58:45.993,5,64,3.152,2.990,10.960,0.336
17:58:47.546,5,256,2.510,2.420,5.442,0.199
17:58:49.098,5,1024,4.180,4.020,9.180,0.349
17:58:50.652,5,4096,5.420,5.260,16.370,0.492
17:58:52.212,5,16384,10.734,9.840,36.940,0.981
17:58:53.787,5,65536,26.092,24.720,40.920,1.118
17:58:55.420,5,262144,83.572,77.850,154.630,7.043
17:58:57.297,5,1048576,324.693,301.051,388.931,20.017

17:58:58.848,6,1,1.774,1.694,6.203,0.175
17:59:00.399,6,4,1.768,1.674,4.417,0.140
17:59:01.949,6,16,2.751,2.580,9.550,0.301
17:59:03.501,6,64,2.046,1.940,5.391,0.186
17:59:05.052,6,256,2.148,2.063,4.346,0.145
17:59:06.603,6,1024,2.341,2.238,4.892,0.156
17:59:08.156,6,4096,4.906,4.720,13.620,0.443
17:59:09.715,6,16384,6.295,5.676,13.059,0.423
17:59:11.288,6,65536,21.752,20.170,52.210,1.303
17:59:12.909,6,262144,69.154,65.150,92.670,2.533
17:59:14.711,6,1048576,251.911,232.671,713.692,24.192

17:59:16.262,7,1,2.740,2.620,6.770,0.210
17:59:17.813,7,4,2.744,2.620,7.900,0.249
17:59:19.363,7,16,2.741,2.630,7.710,0.236
17:59:20.914,7,64,3.175,3.030,9.930,0.356
17:59:22.465,7,256,2.156,2.063,5.669,0.178
17:59:24.017,7,1024,3.633,3.490,9.080,0.340
17:59:25.569,7,4096,4.932,4.690,63.800,1.896
17:59:27.126,7,16384,8.889,7.980,15.380,0.532
17:59:28.697,7,65536,14.700,13.330,29.015,0.754
17:59:30.314,7,262144,68.683,63.960,168.910,7.313
17:59:32.135,7,1048576,269.938,246.331,735.362,21.846

17:59:33.686,8,1,2.736,2.600,7.450,0.224
17:59:35.237,8,4,1.780,1.700,6.065,0.180
17:59:36.793,8,16,2.746,2.620,9.910,0.289
17:59:38.344,8,64,3.153,3.030,6.860,0.223
17:59:39.895,8,256,3.311,3.170,9.080,0.326
17:59:41.447,8,1024,2.353,2.251,6.630,0.212
17:59:43.001,8,4096,4.878,4.690,10.410,0.363
17:59:44.564,8,16384,5.813,5.151,22.477,0.622
17:59:46.139,8,65536,25.842,24.350,56.150,1.302
17:59:47.757,8,262144,44.282,40.616,60.454,2.306
17:59:49.563,8,1048576,256.074,231.471,712.152,25.812

17:59:51.113,9,1,2.737,2.630,7.910,0.252
17:59:52.664,9,4,2.733,2.600,15.540,0.456
17:59:54.216,9,16,3.309,3.230,9.390,0.309
17:59:55.768,9,64,3.752,3.610,11.570,0.400
17:59:57.320,9,256,3.885,3.750,9.450,0.346
17:59:58.886,9,1024,4.200,4.050,12.910,0.396
18:00:00.440,9,4096,5.465,5.280,12.750,0.436
18:00:01.998,9,16384,10.588,9.510,18.120,0.557
18:00:03.572,9,65536,25.871,24.210,61.410,1.756
18:00:05.203,9,262144,82.298,76.870,109.100,3.270
18:00:07.078,9,1048576,325.179,301.231,722.142,23.778

18:00:08.632,10,1,3.293,3.220,9.580,0.298
18:00:10.183,10,4,2.791,2.620,54.830,1.669
18:00:11.733,10,16,2.738,2.610,7.630,0.242
18:00:13.285,10,64,3.156,3.000,17.040,0.509
18:00:14.837,10,256,2.144,2.037,5.533,0.189
18:00:16.388,10,1024,2.374,2.264,31.663,0.940
18:00:17.941,10,4096,4.869,4.680,11.020,0.374
18:00:19.498,10,16384,8.920,8.050,15.570,0.551
18:00:21.069,10,65536,21.820,20.100,39.220,1.023
18:00:22.685,10,262144,67.100,63.500,92.030,2.107
18:00:24.492,10,1048576,258.173,245.681,316.121,6.509

