timestamp,repetition,size_bytes,bandwidth
19:41:05.917,1,1024,1.29
19:41:07.695,2,1024,1.32
19:41:09.472,3,1024,1.32
19:41:11.253,4,1024,1.27
19:41:13.030,5,1024,1.28
19:41:14.804,6,1024,1.32
19:41:16.578,7,1024,1.32
19:41:18.354,8,1024,1.30
19:41:20.131,9,1024,1.30
19:41:21.907,10,1024,1.30
19:41:23.684,11,1024,1.31
19:41:25.462,12,1024,1.30
19:41:27.239,13,1024,1.31
19:41:29.015,14,1024,1.33
19:41:30.793,15,1024,1.29
19:41:32.571,16,1024,1.30
19:41:34.348,17,1024,1.32
19:41:36.132,18,1024,1.24
19:41:37.913,19,1024,1.28
19:41:39.691,20,1024,1.30
19:41:41.472,21,1024,1.29
19:41:43.246,22,1024,1.31
19:41:45.023,23,1024,1.31
19:41:46.800,24,1024,1.31
19:41:48.576,25,1024,1.31
19:41:50.352,26,1024,1.31
19:41:52.131,27,1024,1.31
19:41:53.910,28,1024,1.29
19:41:55.687,29,1024,1.30
19:41:57.464,30,1024,1.30

19:41:59.194,1,2048,2.66
19:42:00.922,2,2048,2.68
19:42:02.653,3,2048,2.66
19:42:04.381,4,2048,2.68
19:42:06.111,5,2048,2.67
19:42:07.839,6,2048,2.67
19:42:09.567,7,2048,2.67
19:42:11.295,8,2048,2.65
19:42:13.024,9,2048,2.70
19:42:14.751,10,2048,2.70
19:42:16.490,11,2048,2.06
19:42:18.217,12,2048,2.64
19:42:19.945,13,2048,2.65
19:42:21.670,14,2048,2.66
19:42:23.399,15,2048,2.65
19:42:25.126,16,2048,2.69
19:42:26.857,17,2048,2.52
19:42:28.584,18,2048,2.67
19:42:30.310,19,2048,2.70
19:42:32.038,20,2048,2.63
19:42:33.764,21,2048,2.69
19:42:35.494,22,2048,2.66
19:42:37.236,23,2048,2.05
19:42:38.965,24,2048,2.66
19:42:40.697,25,2048,2.44
19:42:42.426,26,2048,2.63
19:42:44.154,27,2048,2.68
19:42:45.881,28,2048,2.70
19:42:47.608,29,2048,2.69
19:42:49.336,30,2048,2.68

19:42:51.055,1,4096,3.61
19:42:52.771,2,4096,3.64
19:42:54.486,3,4096,3.63
19:42:56.202,4,4096,3.68
19:42:57.917,5,4096,3.71
19:42:59.633,6,4096,3.69
19:43:01.347,7,4096,3.68
19:43:03.063,8,4096,3.75
19:43:04.779,9,4096,3.72
19:43:06.496,10,4096,3.68
19:43:08.211,11,4096,3.68
19:43:09.928,12,4096,3.67
19:43:11.644,13,4096,3.74
19:43:13.359,14,4096,3.71
19:43:15.076,15,4096,3.68
19:43:16.792,16,4096,3.61
19:43:18.508,17,4096,3.64
19:43:20.222,18,4096,3.69
19:43:21.938,19,4096,3.70
19:43:23.653,20,4096,3.71
19:43:25.367,21,4096,3.71
19:43:27.082,22,4096,3.70
19:43:28.797,23,4096,3.71
19:43:30.513,24,4096,3.67
19:43:32.229,25,4096,3.67
19:43:33.944,26,4096,3.72
19:43:35.661,27,4096,3.68
19:43:37.376,28,4096,3.70
19:43:39.090,29,4096,3.75
19:43:40.805,30,4096,3.68

19:43:42.514,1,8192,4.84
19:43:44.221,2,8192,4.76
19:43:45.928,3,8192,4.85
19:43:47.636,4,8192,4.86
19:43:49.343,5,8192,4.89
19:43:51.050,6,8192,4.82
19:43:52.756,7,8192,4.89
19:43:54.462,8,8192,4.90
19:43:56.169,9,8192,4.82
19:43:57.876,10,8192,4.80
19:43:59.584,11,8192,4.85
19:44:01.293,12,8192,4.81
19:44:03.000,13,8192,4.82
19:44:04.709,14,8192,4.86
19:44:06.419,15,8192,4.80
19:44:08.126,16,8192,4.85
19:44:09.834,17,8192,4.86
19:44:11.541,18,8192,4.87
19:44:13.249,19,8192,4.87
19:44:14.955,20,8192,4.90
19:44:16.661,21,8192,4.89
19:44:18.368,22,8192,4.81
19:44:20.076,23,8192,4.84
19:44:21.791,24,8192,3.74
19:44:23.496,25,8192,4.78
19:44:25.203,26,8192,4.86
19:44:26.910,27,8192,4.84
19:44:28.616,28,8192,4.87
19:44:30.322,29,8192,4.84
19:44:32.029,30,8192,4.86

19:44:33.734,1,16384,5.83
19:44:35.437,2,16384,5.89
19:44:37.139,3,16384,5.89
19:44:38.843,4,16384,5.87
19:44:40.546,5,16384,5.90
19:44:42.248,6,16384,5.94
19:44:43.950,7,16384,5.86
19:44:45.652,8,16384,5.93
19:44:47.355,9,16384,5.95
19:44:49.057,10,16384,5.86
19:44:50.758,11,16384,5.90
19:44:52.461,12,16384,5.89
19:44:54.164,13,16384,5.88
19:44:55.866,14,16384,5.99
19:44:57.568,15,16384,5.78
19:44:59.268,16,16384,5.85
19:45:00.971,17,16384,5.74
19:45:02.675,18,16384,5.85
19:45:04.378,19,16384,5.93
19:45:06.083,20,16384,5.93
19:45:07.786,21,16384,5.83
19:45:09.489,22,16384,5.88
19:45:11.192,23,16384,5.84
19:45:12.894,24,16384,5.94
19:45:14.596,25,16384,5.92
19:45:16.299,26,16384,5.84
19:45:18.002,27,16384,5.86
19:45:19.704,28,16384,5.96
19:45:21.406,29,16384,6.00
19:45:23.108,30,16384,5.95

19:45:24.810,1,32768,6.31
19:45:26.512,2,32768,6.33
19:45:28.207,3,32768,6.71
19:45:29.904,4,32768,6.67
19:45:31.601,5,32768,6.69
19:45:33.297,6,32768,6.81
19:45:34.995,7,32768,6.75
19:45:36.692,8,32768,6.66
19:45:38.389,9,32768,6.66
19:45:40.086,10,32768,6.54
19:45:41.784,11,32768,6.70
19:45:43.480,12,32768,6.65
19:45:45.177,13,32768,6.73
19:45:46.875,14,32768,6.63
19:45:48.572,15,32768,6.63
19:45:50.268,16,32768,6.63
19:45:51.964,17,32768,6.68
19:45:53.661,18,32768,6.73
19:45:55.358,19,32768,6.78
19:45:57.054,20,32768,6.74
19:45:58.751,21,32768,6.71
19:46:00.446,22,32768,6.73
19:46:02.143,23,32768,6.67
19:46:03.841,24,32768,6.69
19:46:05.537,25,32768,6.72
19:46:07.235,26,32768,6.68
19:46:08.933,27,32768,6.53
19:46:10.631,28,32768,6.68
19:46:12.328,29,32768,6.76
19:46:14.025,30,32768,6.64

19:46:15.723,1,65536,6.79
19:46:17.418,2,65536,6.73
19:46:19.114,3,65536,6.77
19:46:20.811,4,65536,6.73
19:46:22.508,5,65536,6.69
19:46:24.204,6,65536,6.75
19:46:25.901,7,65536,6.71
19:46:27.598,8,65536,6.66
19:46:29.296,9,65536,6.74
19:46:30.998,10,65536,6.25
19:46:32.699,11,65536,6.47
19:46:34.399,12,65536,6.50
19:46:36.100,13,65536,6.51
19:46:37.799,14,65536,6.51
19:46:39.499,15,65536,6.53
19:46:41.199,16,65536,6.53
19:46:42.899,17,65536,6.50
19:46:44.599,18,65536,6.55
19:46:46.299,19,65536,6.52
19:46:48.001,20,65536,6.44
19:46:49.704,21,65536,6.45
19:46:51.404,22,65536,6.52
19:46:53.105,23,65536,6.54
19:46:54.805,24,65536,6.48
19:46:56.503,25,65536,6.49
19:46:58.204,26,65536,6.46
19:46:59.904,27,65536,6.46
19:47:01.604,28,65536,6.50
19:47:03.304,29,65536,6.52
19:47:05.005,30,65536,6.45

19:47:06.707,1,131072,6.50
19:47:08.408,2,131072,6.62
19:47:10.107,3,131072,6.59
19:47:11.809,4,131072,6.58
19:47:13.510,5,131072,6.58
19:47:15.211,6,131072,6.53
19:47:16.912,7,131072,6.58
19:47:18.612,8,131072,6.55
19:47:20.312,9,131072,6.58
19:47:22.023,10,131072,6.62
19:47:23.724,11,131072,6.56
19:47:25.422,12,131072,6.68
19:47:27.122,13,131072,6.57
19:47:28.821,14,131072,6.58
19:47:30.522,15,131072,6.56
19:47:32.222,16,131072,6.53
19:47:33.928,17,131072,5.01
19:47:35.626,18,131072,6.60
19:47:37.326,19,131072,6.58
19:47:39.026,20,131072,6.53
19:47:40.725,21,131072,6.65
19:47:42.426,22,131072,6.57
19:47:44.124,23,131072,6.63
19:47:45.824,24,131072,6.55
19:47:47.524,25,131072,6.61
19:47:49.223,26,131072,6.62
19:47:50.924,27,131072,6.57
19:47:52.625,28,131072,6.52
19:47:54.326,29,131072,6.58
19:47:56.023,30,131072,6.64

19:47:57.726,1,262144,6.53
19:47:59.425,2,262144,6.46
19:48:01.124,3,262144,6.53
19:48:02.825,4,262144,6.52
19:48:04.525,5,262144,6.54
19:48:06.224,6,262144,6.55
19:48:07.923,7,262144,6.52
19:48:09.624,8,262144,6.51
19:48:11.322,9,262144,6.83
19:48:13.018,10,262144,6.80
19:48:14.712,11,262144,6.81
19:48:16.408,12,262144,6.89
19:48:18.104,13,262144,6.79
19:48:19.801,14,262144,6.82
19:48:21.497,15,262144,6.93
19:48:23.193,16,262144,6.90
19:48:24.889,17,262144,6.85
19:48:26.585,18,262144,6.85
19:48:28.281,19,262144,6.68
19:48:29.977,20,262144,6.90
19:48:31.674,21,262144,6.82
19:48:33.370,22,262144,6.80
19:48:35.066,23,262144,6.84
19:48:36.764,24,262144,6.90
19:48:38.461,25,262144,6.87
19:48:40.158,26,262144,6.92
19:48:41.855,27,262144,6.92
19:48:43.550,28,262144,6.97
19:48:45.247,29,262144,6.92
19:48:46.943,30,262144,6.88

19:48:48.642,1,524288,6.73
19:48:50.339,2,524288,6.68
19:48:52.036,3,524288,6.73
19:48:53.731,4,524288,6.70
19:48:55.427,5,524288,6.69
19:48:57.125,6,524288,6.70
19:48:58.822,7,524288,6.70
19:49:00.517,8,524288,6.71
19:49:02.215,9,524288,6.66
19:49:03.911,10,524288,6.67
19:49:05.608,11,524288,6.70
19:49:07.305,12,524288,6.64
19:49:09.002,13,524288,6.79
19:49:10.700,14,524288,6.67
19:49:12.397,15,524288,6.68
19:49:14.094,16,524288,6.78
19:49:15.790,17,524288,6.76
19:49:17.486,18,524288,6.68
19:49:19.182,19,524288,6.71
19:49:20.879,20,524288,6.62
19:49:22.575,21,524288,6.66
19:49:24.272,22,524288,6.63
19:49:25.968,23,524288,6.73
19:49:27.666,24,524288,6.66
19:49:29.363,25,524288,6.69
19:49:31.059,26,524288,6.82
19:49:32.756,27,524288,6.68
19:49:34.452,28,524288,6.70
19:49:36.149,29,524288,6.75
19:49:37.846,30,524288,6.65

19:49:39.544,1,1048576,6.63
19:49:41.238,2,1048576,6.62
19:49:42.937,3,1048576,6.51
19:49:44.635,4,1048576,6.56
19:49:46.331,5,1048576,6.52
19:49:48.028,6,1048576,6.50
19:49:49.726,7,1048576,6.46
19:49:51.420,8,1048576,6.58
19:49:53.118,9,1048576,6.53
19:49:54.815,10,1048576,6.52
19:49:56.512,11,1048576,6.57
19:49:58.210,12,1048576,6.49
19:49:59.907,13,1048576,6.56
19:50:01.605,14,1048576,6.51
19:50:03.303,15,1048576,6.51
19:50:05.001,16,1048576,6.57
19:50:06.706,17,1048576,4.63
19:50:08.402,18,1048576,6.55
19:50:10.099,19,1048576,6.46
19:50:11.799,20,1048576,6.52
19:50:13.498,21,1048576,6.57
19:50:15.198,22,1048576,6.36
19:50:16.899,23,1048576,6.23
19:50:18.601,24,1048576,6.31
19:50:20.301,25,1048576,6.28
19:50:22.001,26,1048576,6.23
19:50:23.701,27,1048576,6.31
19:50:25.403,28,1048576,6.30
19:50:27.103,29,1048576,6.29
19:50:28.803,30,1048576,6.27

