timestamp,repetition,size_bytes,avg_send,std_dev_send,mailbox_init,rvsocket,rvbind,rvconnect_dgram,rvaccept_dgram,qp_setup
03:59:06.429,1,1,4.296,1.346,9.240,239.040,153.450,503.061,398.801,6997.592
03:59:06.761,1,4,4.832,1.286,3.220,290.290,7.350,525.201,406.711,6856.971
03:59:07.093,1,16,4.872,1.301,3.190,288.170,8.720,514.921,400.111,6778.331
03:59:07.422,1,64,4.988,1.469,3.580,304.231,9.290,530.571,378.191,6790.741
03:59:07.753,1,256,5.135,1.833,3.150,289.160,8.490,503.831,374.101,6835.691
03:59:08.084,1,1024,5.768,1.584,2.970,299.860,9.150,533.541,417.951,6776.101
03:59:08.421,1,4096,8.755,1.827,3.170,302.031,9.100,567.611,396.761,6735.971
03:59:08.776,1,16384,20.156,2.255,3.280,297.310,5.975,518.311,247.339,6899.641
03:59:09.204,1,65536,66.619,4.112,3.100,306.871,8.570,528.401,390.771,6788.591
03:59:09.919,1,262144,246.530,4.538,3.180,287.660,7.280,517.571,399.491,6676.521
03:59:11.792,1,1048576,968.941,6.715,3.000,291.830,8.930,532.271,387.421,7023.072

03:59:12.123,2,1,4.883,1.528,3.010,306.041,7.620,548.891,388.581,6762.091
03:59:12.455,2,4,4.889,1.449,2.670,310.711,9.770,548.211,399.641,6819.421
03:59:12.785,2,16,4.872,1.569,2.970,306.941,5.618,550.681,250.101,6834.841
03:59:13.116,2,64,4.942,1.382,3.170,306.021,8.810,527.871,385.491,6742.151
03:59:13.446,2,256,5.092,1.445,3.020,286.930,6.282,520.001,250.635,4423.650
03:59:13.779,2,1024,5.732,1.560,2.800,319.461,9.520,525.491,384.571,6792.531
03:59:14.117,2,4096,8.832,1.641,3.230,300.581,10.250,539.461,382.071,6948.312
03:59:14.472,2,16384,20.129,2.205,3.370,292.760,9.360,532.691,383.611,6804.001
03:59:14.902,2,65536,66.643,4.745,2.960,296.380,8.110,529.631,393.391,7140.912
03:59:15.618,2,262144,247.123,3.673,2.930,284.600,10.270,518.211,382.111,7091.132
03:59:17.487,2,1048576,963.886,9.567,2.950,290.730,10.580,526.831,384.521,6867.351

03:59:17.817,3,1,4.913,1.387,3.030,290.520,8.460,535.031,401.171,7030.282
03:59:18.147,3,4,4.865,1.325,2.810,286.750,9.290,531.011,399.761,6985.372
03:59:18.479,3,16,4.895,1.329,3.030,293.650,9.970,516.011,382.901,6783.141
03:59:18.809,3,64,4.404,1.464,2.890,263.680,3.847,515.421,263.467,4482.586
03:59:19.141,3,256,4.520,1.451,2.710,241.900,6.470,496.571,390.881,4505.735
03:59:19.472,3,1024,5.764,1.684,2.850,287.050,9.360,538.761,399.021,4559.098
03:59:19.810,3,4096,8.676,1.831,2.820,304.711,10.100,535.711,379.171,6882.041
03:59:20.166,3,16384,20.446,2.434,3.160,327.381,9.320,540.041,383.311,6948.412
03:59:20.595,3,65536,66.851,5.566,3.050,284.240,10.070,533.671,389.391,7021.142
03:59:21.312,3,262144,247.273,4.329,2.900,320.851,8.180,523.461,382.021,6987.722
03:59:23.175,3,1048576,956.833,9.091,2.920,339.151,8.100,534.371,409.651,6940.812

03:59:23.505,4,1,4.817,1.271,3.170,298.300,10.460,528.001,383.741,6864.951
03:59:23.835,4,4,4.898,1.510,2.970,304.861,8.070,561.361,424.851,6858.901
03:59:24.166,4,16,4.893,1.491,3.050,315.621,8.560,546.811,386.681,6705.141
03:59:24.497,4,64,4.950,1.602,3.060,296.050,6.072,540.691,270.053,6714.281
03:59:24.831,4,256,5.097,1.614,3.090,301.761,9.270,544.131,397.231,6941.562
03:59:25.162,4,1024,5.791,1.811,3.060,303.501,9.330,550.031,397.121,6782.501
03:59:25.498,4,4096,9.005,2.059,3.090,299.360,9.760,558.131,391.771,6791.911
03:59:25.854,4,16384,20.663,2.641,3.270,303.061,7.680,551.001,398.291,6711.071
03:59:26.284,4,65536,67.735,5.268,3.070,287.930,9.750,531.711,393.081,6891.151
03:59:26.999,4,262144,246.461,6.347,2.820,285.510,9.310,513.121,385.121,6763.251
03:59:28.869,4,1048576,965.484,10.638,2.720,288.270,6.540,541.481,396.791,6988.522

03:59:29.201,5,1,4.915,1.768,3.130,315.001,8.160,568.251,410.641,7038.162
03:59:29.531,5,4,4.895,1.396,3.210,312.711,8.560,536.261,384.401,6869.841
03:59:29.861,5,16,4.906,1.572,3.130,298.610,4.872,540.691,271.903,6847.411
03:59:30.193,5,64,4.997,1.551,2.990,301.701,7.640,556.861,400.511,6841.151
03:59:30.525,5,256,5.114,1.776,3.320,310.561,7.350,555.161,400.041,6854.581
03:59:30.857,5,1024,5.686,1.695,3.000,290.710,6.560,549.621,421.611,6912.962
03:59:31.193,5,4096,8.835,1.769,3.010,291.500,7.310,540.211,417.021,6897.031
03:59:31.549,5,16384,20.028,2.459,3.010,300.941,4.885,540.971,250.321,6898.641
03:59:31.977,5,65536,65.879,4.556,3.120,301.521,8.780,552.831,400.101,6786.501
03:59:32.692,5,262144,245.813,5.876,2.700,293.260,9.190,529.821,416.421,6869.971
03:59:34.558,5,1048576,957.043,9.538,2.920,304.351,6.440,542.441,390.711,6912.042

03:59:34.887,6,1,4.314,1.407,2.720,257.530,6.270,516.991,382.351,4315.824
03:59:35.219,6,4,4.293,1.412,2.800,258.560,4.471,514.251,261.212,4280.095
03:59:35.550,6,16,4.912,1.515,3.210,290.500,9.990,531.191,384.341,4474.129
03:59:35.882,6,64,4.962,1.437,3.160,300.461,9.550,528.641,379.451,6836.581
03:59:36.214,6,256,5.128,1.578,2.790,285.620,8.070,517.451,373.121,6753.031
03:59:36.545,6,1024,5.751,1.680,3.050,305.611,8.010,527.531,380.261,6738.361
03:59:36.883,6,4096,8.689,1.887,2.750,301.541,7.590,538.611,387.241,6800.341
03:59:37.237,6,16384,20.058,2.468,2.910,303.611,7.400,544.041,389.561,6760.361
