timestamp,repetition,size_bytes,throughput
23:56:04.851,1,1024,1.87
23:56:06.620,1,2048,0.85
23:56:08.348,1,4096,1.18
23:56:09.994,1,8192,4.80
23:56:11.630,1,16384,8.18
23:56:13.266,1,32768,7.48
23:56:14.897,1,65536,9.12
23:56:16.530,1,131072,9.39
23:56:18.164,1,262144,8.84
23:56:19.798,1,524288,8.61
23:56:21.435,1,1048576,7.73

23:56:25.611,2,1024,0.05
23:56:27.446,2,2048,0.58
23:56:32.942,2,4096,0.03
23:56:34.584,2,8192,5.47
23:56:36.220,2,16384,8.20
23:56:37.853,2,32768,8.55
23:56:39.486,2,65536,9.02
23:56:41.124,2,131072,7.43
23:56:42.757,2,262144,9.71
23:56:44.391,2,524288,9.04
23:56:46.028,2,1048576,8.11

23:56:47.722,3,1024,1.68
23:56:49.490,3,2048,0.84
23:56:51.240,3,4096,0.96
23:56:52.890,3,8192,3.98
23:56:54.524,3,16384,8.52
23:56:56.159,3,32768,7.65
23:56:57.796,3,65536,7.71
23:56:59.429,3,131072,8.40
23:57:01.064,3,262144,8.78
23:57:02.701,3,524288,8.44
23:57:04.339,3,1048576,7.70

23:57:06.025,4,1024,1.87
23:57:11.711,4,2048,0.03
23:57:13.421,4,4096,1.39
23:57:15.063,4,8192,5.39
23:57:16.697,4,16384,8.51
23:57:18.335,4,32768,7.13
23:57:19.967,4,65536,9.23
23:57:21.600,4,131072,8.34
23:57:23.234,4,262144,8.73
23:57:24.870,4,524288,7.94
23:57:26.506,4,1048576,8.33

23:57:28.189,5,1024,1.96
23:57:29.989,5,2048,0.69
23:57:31.696,5,4096,1.44
23:57:33.335,5,8192,5.90
23:57:34.969,5,16384,7.80
23:57:36.604,5,32768,7.91
23:57:38.236,5,65536,8.58
23:57:39.879,5,131072,5.39
23:57:41.510,5,262144,10.49
23:57:43.142,5,524288,9.31
23:57:44.774,5,1048576,9.69

23:57:46.715,6,1024,0.39
23:57:48.580,6,2048,0.50
23:57:50.295,6,4096,1.28
23:57:52.012,6,8192,1.27
23:57:53.893,6,16384,0.47
23:57:55.544,6,32768,3.80
23:57:57.200,6,65536,3.29
23:57:58.832,6,131072,8.50
23:58:00.462,6,262144,9.58
23:58:02.092,6,524288,10.29
23:58:03.726,6,1048576,7.68

23:58:05.605,7,1024,0.48
23:58:07.345,7,2048,1.03
23:58:09.042,7,4096,1.59
23:58:10.714,7,8192,2.31
23:58:12.462,7,16384,0.96
23:58:14.103,7,32768,5.17
23:58:15.750,7,65536,4.81
23:58:17.378,7,131072,11.11
23:58:19.011,7,262144,8.43
23:58:20.642,7,524288,8.52
23:58:22.281,7,1048576,7.20

23:58:24.183,8,1024,0.44
23:58:26.101,8,2048,0.41
23:58:27.818,8,4096,1.28
23:58:29.500,8,8192,1.98
23:58:31.201,8,16384,1.52
23:58:32.995,8,32768,0.71
23:58:34.655,8,65536,3.08
23:58:36.308,8,131072,3.72
23:58:37.939,8,262144,10.22
23:58:39.570,8,524288,10.10
23:58:41.204,8,1048576,8.79

23:58:43.134,9,1024,0.40
23:58:45.013,9,2048,0.48
23:58:46.728,9,4096,1.31
23:58:48.369,9,8192,5.72
23:58:50.011,9,16384,6.16
23:58:51.646,9,32768,7.38
23:58:53.281,9,65536,7.75
23:58:54.912,9,131072,8.77
23:58:56.544,9,262144,9.56
23:58:58.179,9,524288,8.20
23:58:59.818,9,1048576,6.42

23:59:01.505,10,1024,1.80
23:59:07.165,10,2048,0.03
23:59:08.910,10,4096,1.00
23:59:10.549,10,8192,5.81
23:59:12.183,10,16384,8.50
23:59:13.817,10,32768,7.23
23:59:15.450,10,65536,8.95
23:59:17.082,10,131072,9.49
23:59:18.712,10,262144,9.83
23:59:20.346,10,524288,8.13
23:59:21.983,10,1048576,7.64

23:59:23.667,11,1024,1.93
23:59:25.415,11,2048,0.98
23:59:27.188,11,4096,0.81
23:59:28.830,11,8192,5.22
23:59:30.463,11,16384,8.55
23:59:32.098,11,32768,7.68
23:59:33.732,11,65536,7.61
23:59:35.362,11,131072,9.74
23:59:36.997,11,262144,8.10
23:59:38.632,11,524288,8.38
23:59:40.271,11,1048576,6.97

23:59:45.314,12,1024,0.04
23:59:50.974,12,2048,0.03
23:59:52.715,12,4096,1.03
23:59:54.360,12,8192,4.59
23:59:55.994,12,16384,8.40
23:59:57.627,12,32768,8.67
23:59:59.261,12,65536,9.17
00:00:00.894,12,131072,8.31
00:00:02.528,12,262144,8.28
00:00:04.162,12,524288,8.16
00:00:05.798,12,1048576,7.88

00:00:07.480,13,1024,2.01
