timestamp,repetition,size_bytes,avg_send,send_stddev,window_init,rvsocket,rvbind,rvlisten,rvconnect,rvaccept
01:10:28.331,1,1,3.499,1.311,,269.080,2.750,4.807,30242.670,5351.035
01:10:29.976,1,4,2.256,0.805,,169.019,2.854,4.547,14821.190,4144.985
01:10:31.622,1,16,3.181,1.287,,257.580,3.860,6.670,22296.267,6216.220
01:10:33.269,1,64,3.962,1.191,,255.480,4.320,6.750,22622.588,6244.590
01:10:34.912,1,256,2.274,1.151,,178.886,2.705,4.191,14519.694,4078.756
01:10:36.553,1,1024,2.513,0.858,,158.700,2.705,4.009,14520.606,4106.668
01:10:38.199,1,4096,3.288,0.965,,159.012,2.614,4.061,14456.202,4048.978
01:10:39.855,1,16384,9.363,2.169,,249.520,2.673,4.036,22401.107,4110.183
01:10:41.553,1,65536,23.314,3.937,,249.530,2.634,4.055,22329.657,4044.385
01:10:43.399,1,262144,73.525,10.491,,251.920,2.549,4.048,22394.007,4081.506
01:10:45.814,1,1048576,265.268,29.837,,257.610,2.594,3.670,22510.428,4035.716

01:10:47.456,2,1,2.908,1.300,,243.500,2.592,4.066,22389.037,4061.117
01:10:49.098,2,4,2.914,1.346,,262.170,3.990,6.480,22351.017,6298.890
01:10:50.739,2,16,2.886,1.359,,255.130,3.990,6.110,22534.658,6302.141
01:10:52.381,2,64,3.329,1.306,,253.860,2.686,4.236,22486.197,4105.157
01:10:54.023,2,256,3.512,1.321,,262.720,2.666,4.003,22452.837,4094.709
01:10:55.665,2,1024,3.857,1.307,,262.130,4.200,6.140,22232.337,6241.170
01:10:57.310,2,4096,5.135,1.368,,253.540,3.970,6.190,22408.207,6214.250
01:10:58.966,2,16384,9.266,2.309,,260.210,4.130,6.440,22352.707,6243.770
01:11:00.664,2,65536,15.339,2.658,,172.916,2.575,3.957,14465.452,4032.245
01:11:02.508,2,262144,70.965,10.375,,257.010,2.653,4.210,22220.367,4027.143
01:11:04.923,2,1048576,263.753,30.192,,260.460,4.040,6.160,22332.167,6215.370

01:11:06.566,3,1,2.902,1.425,,250.590,4.140,6.380,22371.697,6347.291
01:11:08.209,3,4,2.912,1.312,,253.370,4.000,6.190,22477.297,6340.811
01:11:09.852,3,16,1.894,0.842,,164.344,4.190,5.970,14525.693,6329.301
01:11:11.494,3,64,3.327,1.272,,262.090,9.160,6.190,22196.067,6168.440
01:11:13.139,3,256,2.279,1.743,,166.702,2.770,4.041,14500.906,4043.352
01:11:14.786,3,1024,4.424,1.215,,255.220,4.270,6.860,22407.307,6308.381
01:11:16.432,3,4096,5.023,2.731,,253.420,2.508,4.025,22541.638,4086.940
01:11:18.088,3,16384,6.045,1.506,,162.256,2.601,3.970,14799.907,4099.524
01:11:19.785,3,65536,15.386,2.553,,165.829,2.821,3.875,14648.936,4102.089
01:11:21.646,3,262144,87.891,10.290,,254.100,2.784,4.845,22126.827,4057.777
