timestamp,repetition,size_bytes,avg_send,send_stddev,window_init,rvsocket,rvbind,rvlisten,rvconnect,rvaccept,cq_poll,send_buffer,recv_buffer,wr
18:44:32.540,1,1,4.780,1.038,10.010,251.921,2.744,5.384,35046.078,10395.356,2.27,,,0.65
18:44:34.217,1,4,4.495,1.296,2.750,235.811,2.808,5.856,28319.491,9529.088,2.10,,,0.36
18:44:35.892,1,16,3.039,0.296,1.920,153.672,2.699,4.964,17685.920,9436.856,1.46,,,0.20
18:44:37.570,1,64,5.509,1.069,1.940,151.008,2.725,5.236,17535.611,9511.307,2.64,,,0.32
18:44:39.245,1,256,3.430,0.677,1.810,150.932,2.660,4.697,17276.506,9287.722,2.53,,,0.32
18:44:40.923,1,1024,3.680,0.560,1.946,151.980,2.707,5.173,17000.230,9304.344,2.68,,,0.32
18:44:42.603,1,4096,6.782,0.812,3.270,272.841,2.784,6.215,26508.966,9505.467,3.09,,,0.23
18:44:44.296,1,16384,11.431,0.925,2.057,177.451,2.971,6.110,16838.307,9249.500,4.97,,,0.25
18:44:46.030,1,65536,17.540,0.965,2.050,185.934,2.841,5.980,16722.162,9146.519,11.21,,,0.26
18:44:47.917,1,262144,82.734,3.476,3.190,278.911,2.686,5.612,25761.974,9196.867,30.53,,,0.31
18:44:50.390,1,1048576,298.752,5.175,2.990,269.391,2.798,6.200,25781.904,9246.279,103.56,,,0.40

18:44:52.067,2,1,4.191,0.494,3.010,271.701,2.982,6.158,26257.256,9487.901,2.00,,,0.23
18:44:53.744,2,4,3.044,0.301,1.916,152.312,2.712,5.164,17137.521,9381.505,2.24,,,0.32
18:44:55.421,2,16,4.178,0.383,3.120,279.461,2.802,6.268,26306.366,9527.228,2.01,,,0.23
18:44:57.098,2,64,4.534,0.505,3.110,276.731,2.889,6.018,26336.786,9441.540,2.13,,,0.23
18:44:58.774,2,256,4.774,0.744,3.210,271.571,2.906,6.046,25746.974,9170.368,2.25,,,0.23
18:45:00.450,2,1024,5.109,0.720,3.120,270.881,2.850,6.206,25854.505,9188.455,2.42,,,0.24
18:45:02.130,2,4096,7.840,1.258,2.810,229.741,4.150,8.030,26184.985,14471.366,3.62,,,0.32
18:45:03.820,2,16384,13.347,0.760,2.940,228.401,4.300,7.790,26427.996,14593.226,6.06,,,0.34
18:45:05.554,2,65536,31.624,1.961,2.730,222.311,4.050,7.170,26303.806,14515.916,13.66,,,0.35
18:45:07.455,2,262144,97.844,3.044,2.560,232.651,4.110,7.630,26556.296,14705.037,38.50,,,0.36
18:45:09.953,2,1048576,302.487,5.432,3.340,267.171,2.944,5.928,26602.057,9518.199,104.50,,,0.41

18:45:11.628,3,1,4.190,0.376,3.040,268.491,2.907,6.106,26081.065,9355.935,2.01,,,0.22
18:45:13.303,3,4,4.199,0.392,3.110,276.001,2.919,6.117,26188.575,9521.381,1.98,,,0.23
18:45:14.975,3,16,4.693,0.425,2.970,227.501,2.724,5.157,26797.227,9681.516,2.25,,,0.32
18:45:16.650,3,64,5.081,0.836,2.930,231.351,4.100,7.290,26458.346,14599.806,2.48,,,0.32
18:45:18.326,3,256,4.709,0.515,3.280,269.511,2.904,5.963,26289.176,9518.155,2.24,,,0.24
18:45:20.002,3,1024,5.125,0.726,3.240,271.791,2.860,5.902,26172.915,9371.884,2.38,,,0.23
18:45:21.683,3,4096,6.679,0.754,3.380,286.321,2.861,6.058,26285.276,9520.968,3.02,,,0.23
18:45:23.374,3,16384,7.766,0.463,2.108,175.708,2.837,6.038,16956.128,9525.686,3.38,,,0.16
18:45:25.105,3,65536,27.003,1.502,3.110,266.371,2.852,6.242,26065.535,9312.405,11.01,,,0.27
18:45:26.993,3,262144,82.233,2.818,3.080,269.811,2.914,6.385,26519.286,9500.065,30.50,,,0.29
18:45:29.469,3,1048576,195.037,3.837,2.032,173.296,2.826,5.679,17088.278,9336.827,104.40,,,0.40

18:45:31.143,4,1,4.210,0.525,2.890,263.471,4.320,8.800,26395.366,14441.646,2.00,,,0.24
18:45:32.819,4,4,4.266,0.695,2.960,277.721,4.430,9.060,26156.555,14548.926,2.02,,,0.23
18:45:34.495,4,16,4.194,0.559,2.840,293.171,4.470,9.010,26422.586,14368.906,2.01,,,0.22
18:45:36.171,4,64,4.557,0.861,3.190,272.161,4.660,9.230,26473.826,14690.617,2.17,,,0.22
18:45:37.846,4,256,4.700,0.996,2.990,296.981,4.360,9.170,26241.776,14403.146,2.23,,,0.22
18:45:39.522,4,1024,5.238,1.043,3.340,262.241,4.500,9.510,25619.084,14299.116,2.45,,,0.23
18:45:41.202,4,4096,4.338,0.578,3.170,272.421,4.550,9.030,25925.945,14446.666,3.06,,,0.23
18:45:42.891,4,16384,12.983,0.953,2.820,233.901,4.140,7.830,26352.026,14662.597,5.83,,,0.35
18:45:44.621,4,65536,30.618,1.633,2.710,228.751,4.190,7.710,26371.036,14363.526,12.99,,,0.36
18:45:46.517,4,262144,97.251,3.352,2.980,231.401,4.200,7.650,26611.047,14677.467,38.47,,,0.38
18:45:48.992,4,1048576,299.662,5.635,2.770,270.681,4.460,9.380,26249.446,14470.986,104.70,,,0.39

18:45:50.668,5,1,4.203,0.420,2.990,273.281,4.480,9.780,25991.375,14563.876,2.00,,,0.23
18:45:52.345,5,4,4.151,0.380,3.200,270.111,4.460,9.510,25923.745,14361.956,1.97,,,0.22
18:45:54.022,5,16,4.214,0.623,2.980,269.591,2.995,6.127,26208.676,9627.062,2.02,,,0.22
18:45:55.700,5,64,2.944,0.301,1.978,174.170,2.876,5.764,16968.422,9453.764,1.39,,,0.15
18:45:57.375,5,256,4.749,0.751,3.110,280.401,2.687,5.691,26241.326,9284.215,2.24,,,0.23
18:45:59.052,5,1024,5.044,0.629,2.990,269.821,3.047,5.970,26324.746,9411.723,2.36,,,0.24
18:46:00.734,5,4096,4.321,0.738,1.978,176.922,2.919,6.202,17276.630,9645.598,2.00,,,0.15
18:46:02.426,5,16384,11.427,0.823,3.100,265.281,2.927,6.017,26065.965,9440.092,4.87,,,0.24
18:46:04.159,5,65536,27.197,1.483,3.120,266.651,2.946,5.989,26950.887,9709.440,11.00,,,0.27
18:46:06.045,5,262144,54.198,1.794,2.063,174.061,2.817,6.146,17121.386,9523.804,20.08,,,0.17
18:46:08.531,5,1048576,309.515,5.702,2.820,278.131,2.908,5.751,26934.817,9655.326,111.65,,,0.41

18:46:10.207,6,1,4.206,0.594,3.280,278.311,2.882,5.752,26968.517,9659.839,2.01,,,0.24
18:46:11.883,6,4,4.173,0.392,3.090,269.321,3.010,6.227,25874.915,9371.792,1.29,,,0.15
18:46:13.559,6,16,4.181,0.394,2.750,269.261,2.774,5.333,26143.465,9410.104,1.98,,,0.23
18:46:15.237,6,64,5.438,1.114,3.160,238.101,4.520,8.800,26483.886,14858.837,2.67,,,0.33
18:46:16.913,6,256,5.297,1.087,2.840,231.081,4.190,7.960,26766.397,14832.737,2.59,,,0.32
18:46:18.592,6,1024,5.123,1.051,3.050,272.481,4.480,9.420,26253.486,14669.657,2.39,,,0.23
18:46:20.273,6,4096,6.718,1.118,3.090,269.881,4.680,8.610,26422.176,14508.286,3.02,,,0.23
18:46:21.965,6,16384,11.661,0.810,2.910,267.291,4.380,9.260,26415.916,14641.467,4.98,,,0.25
18:46:23.700,6,65536,31.604,1.565,2.570,233.191,4.220,8.150,26393.546,14633.957,13.10,,,0.36
18:46:25.598,6,262144,97.978,3.079,3.000,235.951,4.130,7.760,26479.126,14735.957,38.57,,,0.37
18:46:28.134,6,1048576,365.947,6.695,2.790,230.341,4.120,7.710,26432.006,14411.126,139.41,,,0.48

18:46:29.810,7,1,4.849,0.628,2.870,237.491,4.150,7.880,26434.616,14713.417,2.34,,,0.33
18:46:31.482,7,4,4.709,0.451,2.670,228.521,4.020,7.390,26384.526,14597.186,2.27,,,0.33
18:46:33.155,7,16,4.668,0.424,2.920,228.511,4.260,7.990,26403.356,14567.876,2.24,,,0.32
18:46:34.830,7,64,5.204,0.803,2.840,238.081,4.060,7.770,26170.315,14438.346,2.54,,,0.32
18:46:36.504,7,256,5.225,0.547,2.960,240.361,4.280,7.610,26175.515,14454.056,2.55,,,0.32
18:46:38.179,7,1024,5.673,1.085,2.930,231.491,4.120,7.300,26247.346,14280.926,2.71,,,0.32
18:46:39.857,7,4096,7.189,0.981,3.070,238.191,4.330,8.370,26038.975,14408.226,3.37,,,0.33
18:46:41.550,7,16384,13.139,0.844,2.810,238.811,4.270,7.790,26344.176,14565.846,5.90,,,0.34
18:46:43.280,7,65536,31.595,1.669,2.560,230.551,4.080,7.460,26322.956,14664.287,13.10,,,0.36
18:46:45.176,7,262144,97.587,3.523,2.940,232.781,4.410,7.920,26751.357,14822.567,38.12,,,0.36
18:46:47.710,7,1048576,367.631,5.652,2.760,226.471,3.960,7.610,26283.066,14434.566,140.86,,,0.50

18:46:49.384,8,1,4.682,0.428,3.040,227.291,4.320,8.010,26721.877,14684.527,2.24,,,0.31
18:46:51.059,8,4,4.696,0.478,3.000,231.201,4.240,7.960,26614.907,14680.807,2.28,,,0.32
18:46:52.734,8,16,4.702,0.438,2.730,232.241,4.130,8.070,26378.276,14693.947,2.26,,,0.32
18:46:54.409,8,64,5.181,1.104,3.100,246.711,4.310,7.960,26550.106,14598.326,2.49,,,0.32
18:46:56.086,8,256,5.330,1.107,2.930,236.091,4.180,7.760,26486.376,14507.106,2.60,,,0.32
18:46:57.761,8,1024,3.336,0.684,1.991,171.453,4.540,9.590,17142.737,14738.187,1.55,,,0.17
18:46:59.439,8,4096,7.256,0.978,2.760,233.731,4.450,8.130,26072.675,14392.036,3.31,,,0.33
18:47:01.130,8,16384,12.699,0.788,2.930,237.341,4.180,7.660,26653.297,14677.037,5.68,,,0.34
18:47:02.865,8,65536,30.622,1.346,2.850,233.851,4.230,7.980,26409.196,14646.957,13.14,,,0.34
18:47:04.768,8,262144,100.474,2.413,2.720,239.701,4.400,7.970,26335.616,14593.826,39.58,,,0.36
18:47:07.303,8,1048576,363.235,5.713,2.850,229.351,4.150,7.560,26608.837,14564.136,138.85,,,0.48

18:47:08.977,9,1,4.688,0.473,3.050,243.791,4.100,8.040,26713.797,14704.027,2.28,,,0.32
18:47:10.655,9,4,4.672,0.472,2.810,228.931,4.430,7.770,26447.706,14552.656,2.29,,,0.32
18:47:12.330,9,16,4.722,0.618,3.110,235.571,2.712,5.314,26422.566,9523.050,2.30,,,0.32
18:47:14.004,9,64,5.107,1.054,2.890,234.191,4.340,7.860,26567.446,14616.887,2.47,,,0.32
18:47:15.678,9,256,5.333,0.794,2.830,241.521,4.340,7.700,26357.846,14731.187,2.61,,,0.32
18:47:17.353,9,1024,5.697,1.262,2.940,235.771,4.140,7.900,26577.346,14281.856,2.71,,,0.32
18:47:19.031,9,4096,7.244,1.258,3.030,233.651,3.970,7.200,26736.927,14687.507,3.31,,,0.32
18:47:20.720,9,16384,12.841,0.861,2.690,235.451,4.190,7.630,26154.355,14351.196,5.77,,,0.34
18:47:22.450,9,65536,30.200,1.908,2.860,235.291,4.120,7.760,26561.406,14613.427,12.81,,,0.35
18:47:24.345,9,262144,98.508,2.734,2.520,225.891,4.300,8.380,26687.427,14675.637,37.98,,,0.38
18:47:26.879,9,1048576,367.507,5.401,2.830,229.931,4.340,7.810,26245.396,14447.376,140.20,,,0.50

18:47:28.552,10,1,4.722,0.704,2.590,225.651,4.130,8.150,26940.587,14789.987,2.27,,,0.32
