timestamp,repetition,size_bytes,avg_send,send_stddev,window_init,rvsocket,rvbind,rvlisten,rvconnect,rvaccept
17:55:17.799,1,1,2.894,1.493,,236.253,4.180,5.940,30828.922,7737.495
17:55:19.445,1,4,3.476,1.470,,273.492,4.670,6.360,22384.539,6008.127
17:55:21.090,1,16,3.483,1.497,,274.262,4.420,6.230,21924.913,6042.836
17:55:22.733,1,64,3.343,1.167,,234.553,4.120,5.690,21790.627,5941.579
17:55:24.378,1,256,4.128,1.569,,285.141,2.970,4.336,21954.012,3893.556
17:55:26.023,1,1024,4.492,2.715,,282.691,4.440,6.880,21903.764,6032.966
17:55:27.671,1,4096,5.904,1.665,,274.072,5.350,6.040,22001.521,6086.555
17:55:29.333,1,16384,12.185,2.416,,273.612,4.630,7.190,21955.662,6123.384
17:55:31.034,1,65536,27.976,4.389,,281.881,4.490,6.740,21814.086,6103.954
17:55:32.903,1,262144,98.926,10.794,,288.341,4.500,6.640,21962.582,6062.966
17:55:35.386,1,1048576,348.676,30.403,,269.802,4.380,6.570,21917.013,5984.618

17:55:37.029,2,1,3.470,1.515,,272.782,4.510,6.220,22036.610,6005.387
17:55:38.673,2,4,3.472,1.543,,271.802,4.350,6.360,21675.991,5955.579
17:55:40.316,2,16,3.495,1.477,,273.042,5.100,6.390,21592.603,5840.582
17:55:41.961,2,64,3.976,2.382,,286.271,4.560,6.440,21728.219,5886.791
17:55:43.600,2,256,3.515,1.473,,236.463,4.210,5.380,21584.693,5904.940
17:55:45.241,2,1024,3.903,1.529,,238.533,4.180,11.600,22035.070,6053.326
17:55:46.886,2,4096,5.244,1.639,,227.393,4.170,5.840,21571.204,5909.640
17:55:48.540,2,16384,9.477,2.167,,229.753,4.140,5.430,21844.536,6007.137
17:55:50.232,2,65536,23.304,3.849,,229.903,4.100,5.170,21741.749,5951.869
17:55:52.070,2,262144,73.457,10.233,,247.202,4.020,5.330,22307.131,6047.116
17:55:54.468,2,1048576,264.565,30.280,,233.023,3.990,5.370,21610.443,5864.122

17:55:56.107,3,1,2.909,1.628,,238.853,4.080,5.430,21935.403,5935.539
17:55:57.746,3,4,2.892,1.411,,239.823,3.980,5.720,21921.943,5918.940
17:55:59.386,3,16,2.914,1.567,,233.683,4.020,5.160,21756.888,5921.160
17:56:01.023,3,64,3.344,1.638,,238.283,4.100,5.460,21551.744,5995.118
17:56:02.663,3,256,3.517,2.482,,234.733,4.090,5.780,21712.620,6010.527
17:56:04.303,3,1024,3.888,1.649,,226.753,4.130,5.800,21683.080,6087.495
17:56:05.946,3,4096,5.272,1.310,,236.323,8.540,5.280,21499.366,5993.828
17:56:07.599,3,16384,9.570,2.214,,239.213,4.120,5.530,21489.276,5904.070
17:56:09.291,3,65536,23.614,4.175,,231.853,4.170,5.790,21634.712,5986.638
17:56:11.151,3,262144,90.771,10.669,,271.752,4.250,6.120,21974.532,6024.787
17:56:13.634,3,1048576,346.033,29.248,,276.152,4.360,6.510,21862.795,6058.686

17:56:15.280,4,1,3.464,1.288,,273.472,4.450,6.350,21933.803,6078.125
17:56:16.923,4,4,3.452,1.311,,271.682,4.470,5.900,21741.209,6011.997
17:56:18.566,4,16,3.456,2.418,,273.262,4.350,6.490,21792.037,6010.797
17:56:20.210,4,64,4.058,1.456,,279.292,4.460,5.930,21507.376,5883.541
17:56:21.850,4,256,3.519,1.179,,229.793,2.725,3.646,21742.879,3908.481
17:56:23.489,4,1024,3.913,1.434,,234.463,2.661,3.504,21632.862,3878.626
17:56:25.133,4,4096,5.264,1.224,,231.913,2.776,3.738,21697.730,3869.344
17:56:26.788,4,16384,9.575,2.179,,235.703,2.741,4.118,21513.316,3801.340
17:56:28.479,4,65536,15.353,2.470,,149.554,2.661,3.648,13968.598,3803.737
17:56:30.314,4,262144,72.294,10.212,,241.653,2.704,3.703,21463.837,3844.213
17:56:32.713,4,1048576,266.648,30.602,,224.793,2.797,3.611,21564.254,3859.863

17:56:34.353,5,1,2.910,1.118,,232.183,2.706,3.290,21858.375,3842.033
17:56:35.992,5,4,1.886,0.731,,151.885,2.581,3.586,13982.200,3879.409
17:56:37.631,5,16,2.908,1.122,,233.763,2.725,3.408,21426.918,3769.679
17:56:39.270,5,64,3.372,1.227,,232.223,4.060,5.780,21610.463,5931.160
17:56:40.909,5,256,3.523,1.150,,229.893,2.631,3.636,21592.103,3854.415
17:56:42.549,5,1024,3.845,1.197,,231.833,4.080,5.800,21645.752,5947.869
17:56:44.193,5,4096,5.259,2.833,,232.453,2.613,3.480,21621.372,3871.698
17:56:45.852,5,16384,11.053,2.354,,268.142,2.829,4.198,22015.260,3981.588
17:56:47.553,5,65536,28.117,4.000,,282.981,4.090,6.030,22084.078,6055.446
17:56:49.409,5,262144,88.439,10.755,,269.942,4.760,6.770,21944.873,6042.816
17:56:51.897,5,1048576,349.230,29.601,,274.152,4.490,7.060,21801.997,5962.079

17:56:53.536,6,1,2.922,1.434,,232.653,2.629,3.745,21645.062,3843.081
17:56:55.176,6,4,2.916,1.169,,225.353,4.100,6.310,21466.727,5937.189
17:56:56.816,6,16,2.916,1.132,,241.693,2.679,3.522,21554.484,3805.768
17:56:58.455,6,64,3.415,1.685,,233.413,4.170,6.050,21589.323,5933.570
17:57:00.093,6,256,3.515,2.622,,239.333,4.180,5.790,21793.867,6014.067
17:57:01.732,6,1024,3.905,1.297,,233.493,3.990,5.770,21880.284,6032.407
17:57:03.375,6,4096,5.301,1.306,,243.023,4.130,5.840,21986.701,6062.386
17:57:05.028,6,16384,9.672,2.241,,250.952,4.150,5.660,21798.897,6061.806
17:57:06.721,6,65536,23.481,3.788,,234.973,4.130,5.230,21773.298,6010.857
17:57:08.556,6,262144,71.175,10.585,,239.703,4.280,5.310,21424.598,5815.223
17:57:10.956,6,1048576,267.979,30.043,,237.373,3.990,4.990,21321.121,5860.872

17:57:12.595,7,1,2.953,1.175,,236.733,4.070,5.850,21559.094,5968.158
17:57:14.234,7,4,2.980,2.003,,238.453,4.270,6.200,21382.310,5795.044
17:57:15.876,7,16,2.919,1.138,,236.193,4.210,5.760,21330.061,5896.501
17:57:17.515,7,64,3.375,1.127,,240.123,2.569,3.406,21148.717,3877.966
17:57:19.154,7,256,3.534,1.183,,237.143,4.090,5.480,21624.922,5877.131
17:57:20.794,7,1024,3.895,1.168,,264.402,4.150,5.930,21603.353,5959.469
17:57:22.437,7,4096,5.248,1.299,,235.573,4.190,5.980,21667.681,5969.988
17:57:24.092,7,16384,9.686,2.326,,242.333,4.100,5.660,21399.989,5908.240
17:57:25.782,7,65536,23.397,3.798,,232.503,4.500,5.700,21699.670,6009.297
17:57:27.614,7,262144,71.210,10.340,,234.533,4.870,5.850,21840.286,6050.476
17:57:30.012,7,1048576,268.852,31.225,,239.573,4.170,5.290,21731.379,6079.535

17:57:31.652,8,1,2.921,1.201,,235.693,4.130,5.390,21720.749,5996.128
17:57:33.291,8,4,2.916,1.204,,231.883,2.789,3.568,21791.267,3830.550
17:57:34.930,8,16,2.915,1.142,,234.533,2.814,3.871,21560.544,3878.984
