timestamp,repetition,size_bytes,avg rtt,throughput
18:17:51.782,1,1,,
18:17:53.300,1,4,,
18:17:54.815,1,16,,
18:17:56.331,1,64,,
18:17:57.848,1,256,,
18:17:59.364,1,1024,,
18:18:00.880,1,4096,,
18:18:02.396,1,16384,,
18:18:03.912,1,65536,,
18:18:05.428,1,262144,,
18:18:06.944,1,1048576,,

18:18:08.461,2,1,,
18:18:09.976,2,4,,
18:18:11.492,2,16,,
18:18:13.007,2,64,,
18:18:14.523,2,256,,
18:18:16.039,2,1024,,
18:18:17.555,2,4096,,
18:18:19.071,2,16384,,
18:18:20.586,2,65536,,
18:18:22.102,2,262144,,
18:18:23.619,2,1048576,,

18:18:25.135,3,1,,
18:18:26.649,3,4,,
18:18:28.165,3,16,,
18:18:29.681,3,64,,
18:18:31.197,3,256,,
18:18:32.713,3,1024,,
18:18:34.230,3,4096,,
18:18:35.745,3,16384,,
