timestamp,repetition,size_bytes,avg_send,send_stddev,rsocket,rbind,rlisten,rconnect
17:07:25.785,1,1024,4.117,0.426,300.211,163.460,181.100,
17:07:27.418,1,2048,4.769,1.856,302.541,5.313,100.076,
17:07:29.050,1,4096,6.250,1.981,309.361,7.780,144.080,
17:07:30.683,1,8192,7.958,2.658,310.311,7.730,147.520,
17:07:32.320,1,16384,9.844,2.420,303.781,13.290,141.120,
17:07:33.959,1,32768,13.486,2.492,306.091,8.540,127.050,
17:07:35.606,1,65536,20.050,1.617,307.631,7.550,137.170,
17:07:37.277,1,131072,45.062,2.658,298.611,7.760,141.000,
17:07:38.995,1,262144,91.540,6.050,303.361,8.030,151.290,
17:07:40.760,1,524288,138.905,13.292,299.271,7.980,162.920,
17:07:42.671,1,1048576,282.805,50.084,300.001,7.970,136.150,

17:07:44.301,2,1024,4.237,1.914,305.051,8.110,143.390,
17:07:45.930,2,2048,4.731,1.639,309.431,8.030,139.020,
17:07:47.565,2,4096,6.516,2.492,294.561,7.820,139.390,
17:07:49.198,2,8192,7.919,2.218,328.251,7.780,153.710,
17:07:50.836,2,16384,9.934,2.957,306.401,10.290,154.560,
17:07:52.473,2,32768,12.322,1.777,324.631,5.040,94.463,
17:07:54.116,2,65536,18.189,2.398,322.461,5.111,95.209,
17:07:55.778,2,131072,37.566,2.689,335.081,4.911,103.135,
17:07:57.478,2,262144,73.202,5.383,323.531,5.182,99.330,
17:07:59.237,2,524288,86.314,8.555,209.568,5.024,87.147,
17:08:01.151,2,1048576,286.546,54.139,315.101,5.564,95.763,

17:08:02.783,3,1024,4.169,1.444,307.701,8.470,129.600,
17:08:04.410,3,2048,4.147,1.820,316.261,4.946,111.671,
17:08:06.041,3,4096,3.556,1.226,206.883,7.740,139.560,
17:08:07.671,3,8192,6.967,1.988,322.621,5.073,96.212,
17:08:09.307,3,16384,5.524,1.115,206.261,5.152,115.240,
17:08:10.943,3,32768,12.354,1.882,314.761,5.430,92.502,
17:08:12.587,3,65536,18.264,2.834,322.871,4.976,112.603,
17:08:14.251,3,131072,37.318,2.622,326.121,5.022,94.804,
17:08:15.958,3,262144,78.441,5.976,306.591,5.271,84.969,
17:08:17.720,3,524288,85.978,7.745,201.471,8.050,130.260,
17:08:19.637,3,1048576,288.328,54.931,302.551,8.050,148.620,

17:08:21.268,4,1024,4.237,1.953,306.121,7.690,134.600,
17:08:22.900,4,2048,4.817,2.040,307.591,7.730,131.280,
17:08:24.536,4,4096,6.184,0.614,306.131,7.660,144.120,
17:08:26.174,4,8192,7.877,2.311,310.331,8.160,151.850,
17:08:27.811,4,16384,5.582,1.574,209.214,5.159,100.244,
17:08:29.451,4,32768,12.469,2.121,327.141,5.041,95.964,
17:08:31.093,4,65536,18.341,2.780,320.611,5.147,103.552,
17:08:32.756,4,131072,37.719,2.374,317.621,5.182,95.868,
17:08:34.455,4,262144,72.324,5.571,324.551,5.082,101.197,
17:08:36.244,4,524288,162.430,19.729,322.361,4.996,112.183,
17:08:38.130,4,1048576,259.291,29.642,323.041,7.890,137.500,

17:08:39.762,5,1024,4.145,0.419,322.811,8.140,157.470,
17:08:41.392,5,2048,4.709,1.750,304.811,7.950,139.500,
17:08:43.026,5,4096,6.309,1.730,314.231,8.480,143.160,
17:08:44.659,5,8192,6.916,2.281,329.991,7.970,132.960,
17:08:46.294,5,16384,8.511,2.559,334.751,7.610,166.070,
17:08:47.934,5,32768,12.391,1.568,327.011,7.570,148.080,
17:08:49.577,5,65536,17.718,1.833,318.681,7.930,150.240,
17:08:51.239,5,131072,37.790,2.426,317.321,8.340,143.490,
17:08:52.938,5,262144,71.235,5.447,336.131,8.090,183.080,
17:08:54.696,5,524288,134.407,11.162,322.241,8.030,143.150,
17:08:56.575,5,1048576,253.735,22.449,322.291,8.970,150.030,

17:08:58.205,6,1024,3.543,0.827,324.921,8.060,177.790,
17:08:59.835,6,2048,4.091,1.690,329.121,9.050,154.990,
17:09:01.467,6,4096,5.558,2.507,332.091,8.350,190.410,
17:09:03.100,6,8192,6.894,1.931,326.671,8.300,151.360,
17:09:04.733,6,16384,8.573,1.901,322.281,7.670,156.720,
17:09:06.371,6,32768,12.356,1.024,339.751,7.850,151.980,
17:09:08.017,6,65536,18.254,2.950,321.691,7.720,144.080,
17:09:09.685,6,131072,37.888,2.639,348.171,7.480,162.510,
17:09:11.389,6,262144,75.297,6.362,297.531,7.900,152.280,
17:09:13.162,6,524288,146.010,21.865,301.511,8.090,140.880,
17:09:15.071,6,1048576,281.671,51.701,299.101,7.940,132.930,

17:09:16.703,7,1024,4.213,1.585,309.581,7.670,140.620,
17:09:18.332,7,2048,4.171,2.230,327.111,5.003,108.290,
17:09:19.964,7,4096,5.471,1.647,324.011,7.790,176.900,
17:09:21.599,7,8192,6.887,1.476,318.531,5.002,98.330,
17:09:23.237,7,16384,9.905,1.485,299.421,8.580,153.440,
17:09:24.879,7,32768,13.418,1.816,299.161,7.550,144.170,
17:09:26.526,7,65536,20.129,2.638,308.761,7.820,151.900,
17:09:28.192,7,131072,38.451,1.980,313.011,7.600,161.540,
17:09:29.896,7,262144,76.862,5.713,307.031,8.670,143.930,
17:09:31.669,7,524288,146.158,16.698,314.341,8.980,143.010,
17:09:33.572,7,1048576,273.562,39.770,310.351,5.792,103.135,

17:09:35.202,8,1024,3.600,1.634,322.751,5.116,117.903,
17:09:36.835,8,2048,4.128,1.908,328.381,5.241,107.046,
17:09:38.467,8,4096,5.405,0.475,323.511,6.679,115.268,
17:09:40.098,8,8192,6.916,1.781,324.321,5.101,116.116,
17:09:41.733,8,16384,8.590,1.609,320.681,5.121,82.344,
17:09:43.372,8,32768,12.439,2.363,314.541,7.650,152.770,
17:09:45.015,8,65536,18.212,3.172,320.601,5.131,97.576,
17:09:46.681,8,131072,37.647,1.659,328.381,5.014,99.215,
17:09:48.385,8,262144,75.260,6.322,307.751,5.017,85.728,
17:09:50.145,8,524288,131.516,14.078,318.891,5.292,99.790,
17:09:52.030,8,1048576,256.338,26.865,322.361,5.160,91.711,

17:09:53.658,9,1024,3.646,2.041,344.871,5.209,103.969,
17:09:55.287,9,2048,4.074,0.992,318.501,5.269,97.072,
17:09:56.918,9,4096,5.604,2.800,322.511,5.138,120.597,
17:09:58.551,9,8192,6.978,2.318,324.331,5.047,101.611,
17:10:00.185,9,16384,8.666,2.265,324.441,5.330,99.841,
17:10:01.822,9,32768,12.420,2.060,324.931,8.210,164.420,
17:10:03.467,9,65536,17.849,2.146,317.031,7.930,140.090,
17:10:05.132,9,131072,38.132,2.350,317.971,5.369,113.359,
17:10:06.841,9,262144,72.157,6.328,305.611,4.901,122.459,
17:10:08.597,9,524288,130.377,9.822,320.881,5.266,91.542,
17:10:10.485,9,1048576,169.325,27.062,206.838,4.924,89.597,

17:10:12.114,10,1024,3.619,1.590,325.041,5.204,94.330,
17:10:13.744,10,2048,4.098,1.624,316.481,5.631,88.858,
17:10:15.375,10,4096,5.464,1.392,345.911,5.053,96.161,
17:10:17.009,10,8192,4.453,1.103,207.505,6.892,115.703,
17:10:18.644,10,16384,5.513,1.680,203.251,4.991,97.122,
17:10:20.285,10,32768,13.379,2.976,309.461,5.244,87.773,
17:10:21.934,10,65536,20.051,2.185,313.801,7.860,140.950,
17:10:23.599,10,131072,38.607,2.194,303.691,8.130,163.350,
17:10:25.302,10,262144,75.528,6.447,312.051,7.770,144.250,
17:10:27.072,10,524288,140.397,12.497,311.901,7.830,127.410,
17:10:29.015,10,1048576,315.250,49.616,320.471,7.340,154.300,
