timestamp,repetition,size_bytes,avg rtt,min,max,stddev
17:11:05.715,1,1,2.725,2.580,6.870,0.216
17:11:07.265,1,4,3.025,2.920,9.910,0.313
17:11:08.816,1,16,2.755,2.580,10.640,0.327
17:11:10.370,1,64,3.877,3.590,10.970,0.386
17:11:11.922,1,256,3.868,3.700,15.260,0.559
17:11:13.473,1,1024,4.328,4.000,56.790,1.702
17:11:15.029,1,4096,5.907,5.520,10.460,0.387
17:11:16.597,1,16384,11.452,10.740,40.250,1.126
17:11:18.208,1,65536,29.293,26.990,37.670,1.111
17:11:19.981,1,262144,88.879,83.310,110.400,3.758
17:11:22.428,1,1048576,363.748,347.391,427.951,8.541

17:11:23.979,2,1,3.337,3.250,9.600,0.304
17:11:25.530,2,4,3.343,3.260,8.990,0.279
17:11:27.080,2,16,3.317,3.250,7.610,0.253
17:11:28.632,2,64,3.874,3.620,10.090,0.349
17:11:30.183,2,256,3.875,3.690,11.390,0.406
17:11:31.737,2,1024,4.268,4.030,12.050,0.390
17:11:33.289,2,4096,5.134,4.780,11.770,0.407
17:11:34.853,2,16384,9.638,8.680,25.990,0.878
17:11:36.457,2,65536,24.338,22.590,37.220,0.985
17:11:38.213,2,262144,74.224,69.400,99.930,2.667
17:11:40.581,2,1048576,293.540,278.461,363.201,9.653

17:11:42.133,3,1,3.324,3.260,9.070,0.283
17:11:43.685,3,4,3.299,3.220,10.500,0.336
17:11:45.237,3,16,3.310,3.230,8.400,0.263
17:11:46.789,3,64,3.859,3.590,8.510,0.303
17:11:48.341,3,256,3.871,3.680,10.360,0.352
17:11:49.893,3,1024,4.207,3.980,8.800,0.328
17:11:51.449,3,4096,5.592,5.330,11.250,0.407
17:11:53.013,3,16384,9.474,8.500,36.290,1.178
17:11:54.616,3,65536,15.668,13.945,21.914,0.718
17:11:56.368,3,262144,73.963,69.050,90.520,2.605
17:11:58.748,3,1048576,306.865,284.851,372.861,8.813

17:12:00.297,4,1,2.779,2.590,25.860,0.754
17:12:01.847,4,4,2.780,2.620,9.020,0.279
17:12:03.400,4,16,3.335,3.250,10.430,0.350
17:12:04.950,4,64,3.201,2.970,11.760,0.357
17:12:06.499,4,256,3.323,3.080,59.110,1.789
17:12:08.048,4,1024,3.669,3.390,8.240,0.317
17:12:09.602,4,4096,5.094,4.780,11.350,0.410
17:12:11.166,4,16384,9.483,8.660,31.320,1.095
17:12:12.774,4,65536,24.914,22.430,79.760,2.957
17:12:14.546,4,262144,87.256,81.690,111.490,3.473
17:12:16.920,4,1048576,288.121,271.141,364.241,9.878

17:12:18.468,5,1,2.724,2.580,7.420,0.207
17:12:20.016,5,4,2.763,2.610,9.390,0.302
17:12:22.649,5,16,2.734,2.580,6.010,0.214
17:12:24.197,5,64,3.188,2.990,7.660,0.284
17:12:25.745,5,256,3.268,3.090,8.810,0.275
17:12:27.294,5,1024,3.644,3.400,8.510,0.314
17:12:28.846,5,4096,5.071,4.730,60.230,1.785
17:12:30.409,5,16384,6.366,5.900,10.133,0.355
17:12:32.010,5,65536,24.165,22.310,30.680,1.138
17:12:33.762,5,262144,72.716,68.190,99.780,3.236
17:12:36.126,5,1048576,288.171,271.581,357.401,9.587

17:12:37.673,6,1,2.711,2.560,6.010,0.198
17:12:39.221,6,4,2.736,2.580,7.060,0.255
17:12:40.770,6,16,2.746,2.590,6.770,0.230
17:12:42.320,6,64,3.180,2.960,8.880,0.273
17:12:43.872,6,256,3.802,3.660,9.050,0.346
17:12:45.425,6,1024,4.243,4.020,11.770,0.434
17:12:46.980,6,4096,5.513,5.090,16.430,0.573
17:12:48.549,6,16384,11.022,10.360,26.540,0.813
17:12:50.150,6,65536,24.214,22.140,61.320,1.574
17:12:51.905,6,262144,74.338,70.000,91.100,2.330
