timestamp,repetition,size_bytes,avg_send,std_dev_send,mailbox_init,rvsocket,rvbind,rvconnect_dgram,rvaccept_dgram,qp_setup
18:08:28.859,1,1024,5.187,1.890,9.690,279.629,118.270,872.908,721.728,16266.889
18:08:29.197,1,2048,6.242,1.995,2.930,301.259,9.210,675.518,529.009,8500.189
18:08:29.557,1,4096,8.089,2.030,2.880,326.589,11.160,631.948,486.949,7683.311
18:08:29.922,1,8192,11.458,2.025,2.950,293.389,9.540,559.879,407.379,7343.112
18:08:30.298,1,16384,18.969,3.065,2.900,283.799,7.490,556.779,406.399,6950.943
18:08:30.700,1,32768,33.955,4.033,2.980,292.089,9.690,547.349,393.609,6763.833
18:08:31.147,1,65536,63.716,5.166,2.970,288.479,5.864,523.039,239.385,6839.653
18:08:31.702,1,131072,118.092,4.411,2.910,287.669,9.990,618.178,444.529,6953.163
18:08:32.421,1,262144,229.918,5.771,3.150,289.359,20.550,561.169,430.389,7246.392
18:08:33.505,1,524288,449.633,8.325,2.910,292.439,6.065,576.389,275.221,6958.063
18:08:35.322,1,1048576,890.094,11.748,2.800,286.799,9.230,548.799,405.199,7118.032

18:08:35.694,2,1024,5.107,1.558,1.959,182.638,10.730,588.729,440.609,6894.483
18:08:36.047,2,2048,5.835,1.871,2.820,287.659,9.060,571.869,422.759,7062.082
18:08:36.426,2,4096,8.011,2.004,2.890,298.719,10.410,580.579,418.949,6846.093
18:08:36.793,2,8192,12.713,2.157,3.170,271.619,6.880,532.339,433.429,7032.922
18:08:37.195,2,16384,20.492,2.585,3.050,268.369,6.840,536.339,405.959,6944.053
18:08:37.601,2,32768,36.799,3.940,3.250,277.689,6.660,552.189,448.539,7093.282
18:08:38.057,2,65536,68.806,5.600,2.960,262.789,4.755,540.539,275.155,4477.159
18:08:38.629,2,131072,128.308,4.585,3.070,269.289,7.170,533.909,433.989,4600.570
18:08:39.370,2,262144,247.823,4.668,3.050,268.199,5.480,531.729,433.329,4533.932
18:08:40.478,2,524288,494.223,7.180,3.570,259.489,6.620,530.369,432.029,4670.609
18:08:42.369,2,1048576,636.062,5.410,2.063,181.440,4.087,516.859,269.957,4695.446

18:08:42.702,3,1024,5.734,1.672,2.890,263.389,4.210,520.639,271.714,4703.980
18:08:43.037,3,2048,6.537,2.104,3.130,266.359,6.750,594.689,479.269,4677.086
18:08:43.396,3,4096,8.766,1.859,3.030,271.209,6.660,542.219,443.509,4669.165
18:08:43.760,3,8192,12.736,2.154,3.190,270.319,7.460,526.629,415.859,4500.687
18:08:44.118,3,16384,13.243,1.763,2.147,167.687,5.580,519.859,406.169,4587.017
18:08:44.516,3,32768,33.858,3.755,3.010,290.809,9.110,556.209,423.199,4559.142
18:08:44.944,3,65536,63.663,5.301,3.030,312.179,8.930,541.519,401.889,4508.925
18:08:45.469,3,131072,126.561,4.558,3.210,276.679,6.300,538.379,436.969,4614.433
18:08:46.188,3,262144,248.766,4.030,3.060,267.829,6.830,519.459,406.969,4632.704
18:08:47.288,3,524288,487.738,7.013,3.100,272.059,7.710,530.769,430.449,4581.292
18:08:49.153,3,1048576,956.086,9.424,3.230,262.399,6.240,529.729,432.639,4590.189

18:08:49.489,4,1024,5.678,1.499,3.310,263.329,4.658,566.239,295.584,7455.721
18:08:49.824,4,2048,6.544,2.015,3.040,263.559,6.960,519.249,419.429,4717.671
18:08:50.187,4,4096,5.609,1.254,2.238,181.268,7.200,593.419,493.709,4605.734
18:08:50.554,4,8192,12.739,2.302,3.070,279.649,6.710,540.139,444.069,7069.442
18:08:50.911,4,16384,20.654,2.915,3.340,279.059,6.650,547.589,419.179,7048.712
18:08:51.292,4,32768,36.750,4.054,3.060,279.789,6.840,537.099,414.599,7229.232
18:08:51.723,4,65536,67.278,5.208,3.130,277.169,6.810,526.709,426.089,7196.952
18:08:52.247,4,131072,126.613,4.397,2.850,280.189,7.180,542.599,422.109,7288.072
18:08:52.965,4,262144,244.792,3.925,2.840,268.199,17.410,592.969,460.859,7211.222
18:08:54.067,4,524288,488.567,8.534,2.890,268.609,4.071,520.089,271.544,4724.713
18:08:55.941,4,1048576,964.571,10.239,3.540,263.579,4.502,535.459,287.048,7046.642

18:08:56.275,5,1024,5.725,1.706,3.110,271.539,6.540,531.409,400.699,7276.402
18:08:56.609,5,2048,6.421,1.773,2.930,263.769,7.120,525.769,412.979,7278.942
18:08:56.948,5,4096,8.782,1.819,2.990,271.679,6.950,526.869,426.809,4474.988
18:08:57.292,5,8192,12.695,2.154,3.350,272.309,7.190,535.719,434.869,7197.932
18:08:57.649,5,16384,20.845,3.007,3.040,259.229,4.327,547.259,291.502,7076.232
18:08:58.031,5,32768,36.665,3.786,2.930,263.439,6.290,531.119,412.129,7096.352
18:08:58.463,5,65536,68.088,5.292,2.930,266.359,7.070,523.319,412.429,6966.273
18:08:58.990,5,131072,127.063,5.181,3.140,263.679,6.570,559.339,454.809,7022.602
18:08:59.708,5,262144,247.335,6.371,3.010,267.719,7.890,518.219,410.919,7445.411
18:09:00.779,5,524288,457.561,8.961,2.850,285.929,9.390,579.259,445.459,4719.292
18:09:02.590,5,1048576,582.594,8.232,1.875,175.928,6.065,535.059,268.354,4691.377

18:09:02.924,6,1024,3.330,1.070,1.803,183.661,8.980,569.429,407.349,4698.995
18:09:03.259,6,2048,3.770,1.169,1.810,190.266,5.692,354.492,270.495,4826.295
18:09:03.597,6,4096,7.986,1.823,3.000,292.119,6.407,550.169,272.413,4628.316
18:09:03.940,6,8192,11.523,2.151,2.820,284.109,5.520,551.009,259.802,4587.067
18:09:04.294,6,16384,11.833,1.490,1.998,186.438,9.830,368.079,433.879,4695.185
18:09:04.672,6,32768,34.279,3.878,2.530,288.399,7.340,563.669,427.639,4697.219
18:09:05.096,6,65536,39.854,3.305,1.777,193.480,9.650,350.672,409.569,4584.836
18:09:05.612,6,131072,115.891,4.374,2.510,286.809,9.110,538.349,412.449,4526.556
18:09:06.330,6,262144,248.659,4.935,2.930,264.069,4.683,531.479,269.801,4606.469
18:09:07.432,6,524288,488.804,5.785,3.380,271.739,7.130,532.649,433.539,7081.512
18:09:09.300,6,1048576,957.015,9.200,3.000,264.149,6.790,351.674,431.819,7394.792

18:09:09.634,7,1024,5.105,1.594,2.470,291.929,9.060,553.429,402.119,4810.625
18:09:09.968,7,2048,5.883,1.852,2.880,282.279,8.250,543.589,421.719,4691.175
18:09:10.307,7,4096,5.142,1.066,1.803,186.529,9.340,552.569,399.649,4711.293
18:09:10.650,7,8192,11.323,1.513,2.970,275.139,6.157,545.339,259.163,4680.338
18:09:11.008,7,16384,13.494,1.949,1.980,181.810,9.840,349.572,413.139,4743.023
18:09:11.387,7,32768,33.252,3.479,1.946,176.141,8.030,337.463,400.359,4613.421
18:09:11.815,7,65536,63.501,5.997,2.960,297.039,8.870,563.859,406.779,4720.813
18:09:12.330,7,131072,117.375,5.592,2.530,286.589,10.170,567.169,410.439,7045.192
18:09:13.030,7,262144,230.069,6.390,2.990,276.059,9.790,555.009,429.109,7065.372
18:09:14.133,7,524288,490.883,7.812,3.330,272.529,5.930,544.619,443.379,7133.372
18:09:16.004,7,1048576,961.764,7.279,3.090,270.809,4.625,567.219,293.319,4713.209

18:09:16.338,8,1024,5.733,1.887,2.730,265.709,7.240,532.909,431.219,7298.602
18:09:16.672,8,2048,6.470,1.882,2.950,271.249,6.630,529.249,422.279,7249.622
18:09:17.009,8,4096,8.829,1.985,3.070,271.419,7.730,518.389,412.109,7072.252
18:09:17.352,8,8192,12.635,2.193,2.820,265.009,7.250,509.919,415.279,7174.972
18:09:17.708,8,16384,20.703,2.879,2.870,265.799,6.220,555.969,457.179,7149.002
18:09:18.089,8,32768,36.666,3.328,2.720,260.369,6.390,523.799,428.299,7147.062
18:09:18.520,8,65536,66.613,4.720,3.560,274.589,6.440,544.509,419.179,7148.032
18:09:19.047,8,131072,127.577,3.175,2.820,269.069,6.790,544.559,417.289,7306.882
18:09:19.763,8,262144,246.303,3.841,3.000,267.529,7.820,507.689,416.539,7160.542
18:09:20.858,8,524288,482.028,6.952,3.380,264.459,6.520,529.849,428.909,7205.922
18:09:22.742,8,1048576,973.951,7.111,3.020,262.129,7.450,544.239,438.679,7210.642

18:09:23.076,9,1024,5.136,1.661,2.780,291.349,9.160,539.309,389.789,4638.084
18:09:23.411,9,2048,3.760,1.137,1.829,184.801,6.113,371.896,273.283,4597.493
18:09:23.749,9,4096,7.974,1.947,2.700,280.939,9.740,546.039,405.829,4769.750
18:09:24.094,9,8192,12.182,1.773,2.870,255.429,6.060,515.589,401.169,7332.742
18:09:24.451,9,16384,20.598,3.012,3.560,259.659,4.541,518.309,274.239,7268.952
18:09:24.834,9,32768,35.869,3.149,3.030,261.839,4.100,540.999,287.060,7338.762
18:09:25.266,9,65536,67.018,3.563,3.030,261.159,6.780,343.471,417.579,4731.832
18:09:25.792,9,131072,126.036,4.916,3.040,270.699,6.770,534.509,432.559,7495.421
18:09:26.508,9,262144,243.404,5.234,3.210,263.009,6.440,550.539,431.289,4705.938
18:09:27.599,9,524288,478.195,6.297,2.890,267.279,7.110,529.729,438.249,4664.023
18:09:29.470,9,1048576,961.945,10.525,3.050,259.739,6.820,529.359,406.819,4780.926

18:09:29.805,10,1024,5.776,2.064,3.210,259.849,4.398,513.379,259.140,4649.713
18:09:30.140,10,2048,6.476,1.976,1.972,171.145,6.580,515.819,399.709,4728.514
18:09:30.477,10,4096,5.658,1.139,1.752,165.205,6.300,331.841,398.499,4738.231
18:09:30.820,10,8192,12.254,1.799,1.946,170.039,6.980,344.949,431.139,4703.361
18:09:31.178,10,16384,20.277,2.659,2.930,275.429,5.760,524.089,404.229,7359.662
18:09:31.558,10,32768,35.664,3.263,3.050,291.619,4.800,527.639,268.302,7349.572
18:09:31.988,10,65536,66.613,5.027,3.520,258.829,6.170,514.099,403.969,4705.273
18:09:32.509,10,131072,123.455,4.323,1.784,166.433,6.010,329.358,391.539,4697.094
18:09:33.222,10,262144,242.508,3.906,3.070,256.909,3.886,516.109,276.610,4673.205
18:09:34.315,10,524288,480.118,5.085,3.390,254.729,6.610,508.769,394.179,4737.426
18:09:36.184,10,1048576,962.010,8.255,3.340,260.259,6.820,527.469,428.409,4710.085

