timestamp,repetition,size_bytes,min_send,max_send,avg_send,std_dev_send,avg_buffer_setup,avg_frag_setup,avg_wr_setup,avg_send_poll,min_recv,max_recv,avg_recv,avg_recv_poll,std_dev_recv,mailbox_init,rvsocket,rvbind,rvconnect_dgram,rvaccept_dgram,postRecvPool,qp_setup
04:53:00.357,1,1,3.325,6.865,4.127,0.504,12.634,0.072,0.310,9.246,,,,,,214.571,23.299,4.990,462.041,376.375,6101.023,4875.513
04:53:00.707,1,4,3.025,7.195,3.721,0.572,14.147,0.074,0.268,11.079,,,,,,226.621,21.599,4.580,457.182,362.625,6201.300,4284.757
04:53:01.058,1,16,3.470,7.120,4.131,0.603,13.931,0.071,0.268,10.936,,,,,,214.901,22.739,4.480,465.421,378.765,4120.110,2772.984
04:53:01.407,1,64,3.105,6.620,3.869,0.552,14.271,0.050,0.243,11.222,,,,,,228.111,20.949,4.550,456.942,376.035,5744.828,4222.169
04:53:01.755,1,256,3.290,6.685,4.066,0.576,13.951,0.064,0.251,10.777,,,,,,216.261,19.369,5.050,458.141,378.395,5759.567,4164.392
04:53:02.104,1,1024,2.248,6.043,2.929,0.648,9.659,0.046,0.168,7.420,,,,,,145.758,14.496,4.760,306.019,369.285,6153.031,4232.959
04:53:02.449,1,4050,3.715,10.549,5.518,1.181,16.326,0.103,0.259,11.546,,,,,,221.441,21.729,3.280,464.791,246.733,4062.787,2805.976
04:53:02.814,1,16384,6.315,15.079,10.686,1.337,77.555,8.423,1.349,56.611,,,,,,220.311,20.989,3.113,463.581,243.844,6104.713,4276.507
04:53:03.216,1,65536,24.304,38.153,30.553,2.311,267.737,40.899,4.244,192.281,,,,,,221.471,21.209,3.253,458.652,249.274,4008.889,2824.014
04:53:03.765,1,262144,100.357,129.215,103.982,4.690,988.409,164.192,16.783,724.292,,,,,,211.681,21.299,4.850,466.191,381.595,6256.007,4280.197
04:53:04.961,1,1048576,387.386,470.022,420.254,18.158,4087.616,692.503,68.383,2908.985,,,,,,220.451,20.829,3.299,457.442,243.402,4148.634,2823.156

04:53:05.310,2,1,3.310,6.575,4.018,0.517,13.783,0.071,0.252,10.790,,,,,,224.121,19.619,3.418,305.935,247.825,4105.813,2821.610
04:53:05.662,2,4,3.385,6.760,4.015,0.509,13.743,0.079,0.287,10.874,,,,,,216.021,21.219,3.432,456.771,251.632,4157.664,2846.242
04:53:06.009,2,16,2.445,5.298,2.784,0.438,8.361,0.046,0.173,6.075,,,,,,151.827,15.074,3.075,332.140,269.103,4131.670,2841.915
04:53:06.355,2,64,0.311,4.760,2.596,0.496,9.403,0.034,0.163,7.317,,,,,,147.917,14.619,3.133,305.402,244.061,4150.587,2816.763
04:53:06.708,2,256,3.305,14.809,4.246,1.255,14.363,0.063,0.296,10.927,,,,,,144.226,14.506,3.387,304.134,240.793,4188.664,2828.351
04:53:07.058,2,1024,3.240,8.225,4.129,0.787,14.653,0.071,0.251,11.197,,,,,,145.009,14.449,3.518,305.073,244.664,4003.404,2831.267
04:53:07.404,2,4050,3.261,12.014,3.899,1.150,10.571,0.068,0.217,7.677,,,,,,145.376,13.600,3.066,303.524,242.524,6342.014,4277.087
04:53:07.766,2,16384,6.415,15.099,10.520,1.392,76.813,8.299,1.252,56.525,,,,,,217.521,21.049,3.122,463.871,245.273,3834.295,2834.237
04:53:08.162,2,65536,24.134,74.677,31.306,5.393,265.036,40.950,4.315,192.454,,,,,,223.621,22.379,4.670,466.621,372.465,4093.428,2802.333
04:53:08.712,2,262144,97.696,131.906,103.316,3.848,990.837,161.709,16.642,714.655,,,,,,220.001,21.489,2.999,457.122,243.794,4121.001,2817.637
04:53:09.909,2,1048576,273.578,315.069,284.908,8.331,2730.453,473.263,44.099,1956.540,,,,,,150.458,14.233,3.318,300.747,244.962,4118.307,2832.714

04:53:10.262,3,1,2.431,4.444,2.754,0.319,8.381,0.046,0.201,6.101,,,,,,142.987,14.458,3.193,306.128,246.569,3969.400,2848.178
04:53:10.617,3,4,3.085,6.310,3.862,0.480,13.880,0.069,0.298,10.886,,,,,,218.391,22.089,3.274,462.832,244.486,3872.381,2820.337
04:53:10.968,3,16,3.300,6.440,3.974,0.496,13.922,0.070,0.257,11.010,,,,,,221.661,20.499,3.270,460.672,246.814,3848.237,2809.440
04:53:11.455,3,64,2.815,8.370,4.047,0.695,14.250,0.050,0.280,11.006,,,,,,218.921,23.089,3.190,469.291,246.951,4017.056,2841.983
04:53:11.800,3,256,3.285,6.850,4.007,0.587,14.633,0.058,0.257,11.049,,,,,,216.201,22.549,3.110,462.351,243.001,3828.906,2807.237
04:53:12.145,3,1024,3.145,6.465,4.136,0.725,14.628,0.068,0.294,11.249,,,,,,143.756,14.382,3.135,308.473,253.770,3879.205,2817.400
04:53:12.491,3,4050,3.202,14.130,3.945,1.323,10.270,0.067,0.197,7.416,,,,,,142.085,13.031,3.270,295.271,242.856,4101.243,2832.756
04:53:12.851,3,16384,6.570,14.710,10.731,1.306,77.285,8.288,1.312,56.600,,,,,,147.321,14.457,3.210,308.260,249.201,3946.250,2830.366
04:53:13.245,3,65536,26.049,37.418,29.522,2.469,244.101,38.608,4.151,163.862,,,,,,217.831,21.229,3.242,457.182,247.192,4083.491,2781.587
04:53:13.799,3,262144,66.424,92.456,69.709,4.054,669.136,109.571,11.012,481.595,,,,,,147.731,13.745,3.295,307.941,245.854,3857.721,2799.468
04:53:14.997,3,1048576,413.123,497.266,425.832,13.156,4120.549,708.860,65.340,2924.201,,,,,,219.101,22.319,3.149,465.151,244.651,4220.369,2779.858

04:53:15.350,4,1,3.130,6.990,4.111,0.500,12.714,0.069,0.269,9.168,,,,,,223.651,30.109,3.483,464.461,243.693,4016.748,2827.664
04:53:15.697,4,4,3.195,6.505,4.050,0.562,14.041,0.071,0.286,11.034,,,,,,220.911,21.719,3.252,459.752,247.232,3809.169,2839.457
04:53:16.038,4,16,1.845,4.333,2.502,0.371,9.335,0.046,0.177,7.242,,,,,,151.909,14.068,3.228,303.117,243.958,3825.632,2813.567
04:53:16.383,4,64,3.120,6.810,3.794,0.517,14.122,0.051,0.320,10.944,,,,,,220.751,20.929,3.462,457.852,248.277,4153.579,2811.316
04:53:16.727,4,256,3.340,6.880,3.968,0.594,14.367,0.064,0.318,10.970,,,,,,218.071,21.229,4.800,460.272,372.535,3960.736,2835.202
04:53:17.072,4,1024,3.390,6.945,4.376,0.714,14.150,0.070,0.291,11.089,,,,,,216.071,22.569,3.203,463.211,245.665,3833.282,2827.686
04:53:17.416,4,4050,2.537,6.910,3.617,0.694,10.045,0.067,0.182,7.343,,,,,,142.065,14.411,3.127,313.110,252.870,3821.339,2820.473
04:53:17.771,4,16384,6.675,18.319,10.763,1.585,76.761,8.393,1.297,56.048,,,,,,214.722,22.279,3.385,465.021,250.024,3923.736,2832.780
04:53:18.166,4,65536,17.973,24.778,20.140,1.582,176.469,26.885,2.822,126.932,,,,,,145.490,14.358,3.297,462.361,242.785,3852.696,2852.280
04:53:18.715,4,262144,91.391,121.861,99.904,5.608,1005.050,156.309,16.107,729.962,,,,,,220.601,22.279,3.252,462.481,245.348,3948.635,2800.238
04:53:19.902,4,1048576,263.376,314.628,275.023,11.025,2727.034,454.187,43.268,1942.970,,,,,,148.769,14.000,5.210,463.091,370.965,6102.764,2809.881

04:53:20.255,5,1,0.555,6.650,3.894,0.659,13.935,0.072,0.291,11.512,,,,,,141.246,15.353,3.083,305.820,247.537,3798.897,2821.159
04:53:20.601,5,4,3.425,7.280,4.041,0.545,14.062,0.070,0.260,10.926,,,,,,223.641,23.519,3.560,474.151,255.900,3841.617,2799.747
04:53:20.947,5,16,2.440,6.390,4.048,0.540,14.124,0.071,0.327,10.896,,,,,,221.771,20.839,3.049,461.752,245.739,4080.588,2807.605
04:53:21.293,5,64,3.320,6.370,3.875,0.546,13.873,0.051,0.274,10.793,,,,,,216.311,20.839,3.249,462.901,249.099,4051.594,2829.731
04:53:21.644,5,256,3.420,9.270,4.329,0.793,13.783,0.059,0.251,10.614,,,,,,210.581,19.779,3.278,466.551,248.554,4133.937,2810.296
04:53:21.996,5,1024,3.555,6.625,4.400,0.735,14.074,0.068,0.261,11.064,,,,,,217.111,21.119,3.244,455.602,246.720,3895.364,2809.648
04:53:22.345,5,4050,4.830,11.029,5.698,1.080,15.430,0.101,0.335,11.310,,,,,,220.031,20.980,3.335,459.352,241.985,3898.708,2827.321
04:53:22.705,5,16384,5.965,14.815,10.451,1.539,73.533,7.597,1.243,54.914,,,,,,215.971,21.549,3.234,459.661,250.062,3856.693,2827.333
04:53:23.103,5,65536,26.119,61.742,29.653,4.201,242.350,38.968,4.303,164.455,,,,,,220.441,21.709,3.339,467.731,245.940,4084.441,2828.812
04:53:23.655,5,262144,65.683,82.302,67.654,2.042,656.659,106.630,10.933,482.178,,,,,,141.680,14.814,3.216,299.056,240.678,4178.232,2832.311
04:53:24.838,5,1048576,374.106,489.228,402.515,25.481,4070.817,656.541,66.961,2928.820,,,,,,226.941,20.969,5.180,443.792,359.665,6003.848,4258.688

04:53:25.190,6,1,3.440,7.835,4.185,0.689,13.712,0.071,0.317,10.789,,,,,,213.371,20.059,3.276,458.401,246.130,4092.232,2838.581
04:53:25.534,6,4,2.475,6.695,3.839,0.537,13.676,0.070,0.297,10.869,,,,,,217.011,21.289,3.336,463.451,248.406,4215.215,2788.678
04:53:25.880,6,16,3.180,10.745,4.025,0.915,14.196,0.070,0.263,11.051,,,,,,214.651,21.859,3.163,461.221,247.314,3721.215,2841.949
04:53:26.227,6,64,2.066,12.526,2.697,1.142,9.138,0.033,0.168,7.140,,,,,,159.320,13.734,2.837,303.041,248.970,3749.819,2818.270
04:53:26.583,6,256,3.470,6.760,4.190,0.631,13.777,0.059,0.273,10.786,,,,,,214.341,19.659,3.346,459.351,241.357,3845.834,2829.764
04:53:26.931,6,1024,2.079,5.071,2.762,0.558,9.707,0.045,0.190,7.469,,,,,,144.588,14.134,3.425,311.053,245.176,3840.479,2829.056
04:53:27.284,6,4050,3.325,7.307,3.764,0.680,9.660,0.067,0.174,6.348,,,,,,148.814,13.749,3.583,466.311,248.032,3913.260,2824.768
04:53:27.649,6,16384,6.570,17.464,10.572,1.569,77.005,8.189,1.241,56.128,,,,,,218.271,21.089,3.154,464.821,246.201,4021.563,2794.875
04:53:28.046,6,65536,18.029,39.166,20.000,2.754,175.007,26.275,2.831,126.492,,,,,,146.335,13.051,3.188,464.951,249.108,3883.804,2824.171
04:53:28.608,6,262144,61.731,80.282,66.088,2.255,656.393,103.671,10.935,473.270,,,,,,140.395,14.471,5.290,305.946,375.315,4034.463,2828.504
04:53:29.809,6,1048576,397.794,477.623,417.820,16.517,4105.350,686.092,66.565,2944.534,,,,,,216.391,20.039,3.430,452.672,243.141,3766.947,2826.816

