timestamp,repetition,size_bytes,min_send,max_send,avg_send,std_dev_send,avg_buffer_setup,avg_frag_setup,avg_wr_setup,avg_poll,window_init,rvsocket_setup,postRecvPool,min_recv,max_recv,avg_recv,std_dev_recv,rvbind
17:57:20.649,1,1,11.270,28.331,12.718,2.005,11.751,0.116,0.399,10.519,192.223,4035.954,4123.150,0.362,710.273,90.578,74.967,9.777
17:57:20.987,1,4,12.723,33.159,14.312,2.266,13.100,0.138,0.587,13.196,215.795,4305.886,5308.165,0.509,918.475,93.890,95.448,7.594
17:57:21.322,1,16,12.793,29.212,14.026,1.974,12.870,0.164,0.581,12.964,233.417,4261.326,5230.967,0.539,894.240,93.301,93.504,7.694
17:57:21.646,1,64,12.683,72.429,15.265,6.294,13.434,0.131,0.647,12.896,213.211,4234.749,4999.394,0.353,896.424,95.182,93.161,6.862
17:57:21.972,1,256,12.813,73.611,14.970,6.339,13.102,0.271,0.562,12.929,207.530,4225.893,4858.603,0.539,887.422,94.764,93.081,7.543
17:57:22.297,1,1024,13.003,66.719,15.906,5.929,13.755,0.655,0.543,12.987,210.065,4192.474,5235.285,5.172,881.104,97.702,92.586,6.421
17:57:22.621,1,4050,15.037,64.685,17.482,5.163,14.244,1.748,0.551,13.339,232.174,4243.475,5100.124,8.444,922.648,101.258,96.053,7.533
17:57:22.969,1,16384,54.553,377.615,62.439,32.362,49.902,5.207,1.663,38.426,150.680,3092.541,4939.387,0.186,832.496,42.512,83.711,7.053
17:57:23.358,1,65536,265.454,662.523,284.599,40.154,233.986,27.767,7.337,177.817,231.523,4198.494,4890.199,0.186,840.989,33.438,78.451,8.686
17:57:23.879,1,262144,936.762,1010.834,973.181,15.458,804.485,102.810,21.713,586.312,249.846,4196.962,5217.884,0.284,765.120,27.452,71.744,7.303
17:57:25.043,1,1048576,4292.252,4475.729,4362.167,39.134,3669.932,404.345,113.607,2782.073,238.315,4268.800,5460.868,0.176,1586.067,30.201,96.938,8.024

17:57:25.380,2,1,13.284,30.024,14.938,1.839,13.805,0.123,0.529,13.266,235.510,4253.523,5232.290,0.382,881.221,95.972,94.001,7.844
17:57:25.719,2,4,13.935,32.238,15.077,1.968,13.929,0.111,0.554,13.893,292.993,4375.170,5279.724,9.336,893.378,96.066,96.312,8.125
17:57:26.044,2,16,13.855,29.763,14.948,1.770,13.819,0.158,0.527,13.047,208.031,4220.804,5562.249,8.336,865.381,95.438,92.428,7.383
17:57:26.384,2,64,13.835,68.041,15.881,5.675,14.221,0.131,0.567,13.535,201.630,4235.540,5474.101,0.578,910.227,96.962,96.744,7.624
17:57:26.710,2,256,13.694,67.420,16.054,5.731,14.155,0.275,0.668,13.428,200.488,4234.058,5410.508,12.813,913.861,97.325,96.103,7.774
17:57:27.047,2,1024,13.915,67.701,16.197,5.547,14.063,0.608,0.547,13.446,292.352,4272.476,5288.039,5.907,907.572,97.643,96.172,7.453
17:57:27.373,2,4050,15.347,68.402,17.927,5.402,14.770,1.642,0.544,13.841,230.241,4229.930,5466.608,5.182,938.420,103.360,99.021,7.023
17:57:27.710,2,16384,76.977,466.172,86.525,39.082,70.448,6.601,2.242,54.677,192.674,4207.621,5452.172,0.343,843.566,43.599,85.083,7.043
17:57:28.094,2,65536,271.555,625.246,290.788,36.001,242.139,26.590,7.320,184.450,265.013,4241.301,5379.462,0.196,839.726,34.307,81.622,8.084
17:57:28.639,2,262144,1061.074,1147.128,1100.198,16.321,920.470,104.602,28.257,698.680,295.828,4357.248,5261.712,0.176,837.904,31.047,82.083,8.034
17:57:29.797,2,1048576,4268.589,4447.038,4348.955,45.706,3638.310,408.079,110.541,2756.722,213.952,4297.030,5349.078,0.186,1591.435,30.055,96.450,6.962

17:57:30.137,3,1,13.765,31.777,15.131,2.024,13.999,0.130,0.528,13.584,214.323,4292.362,5305.360,23.706,915.487,95.444,97.094,7.123
17:57:30.474,3,4,13.544,34.982,15.197,2.401,14.051,0.134,0.531,13.297,205.046,4278.728,5194.402,7.014,884.669,96.155,94.351,7.243
17:57:30.811,3,16,13.765,34.191,15.243,2.422,14.022,0.175,0.599,13.632,299.114,4239.688,5560.435,7.798,923.207,96.002,97.448,5.991
17:57:31.136,3,64,13.885,63.303,15.871,5.933,14.300,0.133,0.518,13.544,219.652,4238.335,5526.084,2.380,915.331,96.886,96.746,7.203
17:57:31.473,3,256,13.875,68.983,15.717,5.709,13.975,0.258,0.522,13.937,200.588,4227.706,5387.286,23.109,921.238,97.610,98.737,8.545
17:57:31.809,3,1024,13.965,66.839,16.401,5.521,14.296,0.594,0.575,13.656,189.568,4267.447,5303.477,13.607,921.404,98.720,97.346,7.513
17:57:32.160,3,4050,15.408,67.641,17.487,5.415,14.565,1.459,0.516,13.332,195.769,4274.891,5227.160,12.715,906.916,101.020,95.856,7.614
17:57:32.498,3,16384,77.478,462.255,86.508,38.630,70.566,6.602,2.202,54.648,192.113,4244.296,5465.847,0.470,840.999,43.643,85.122,7.684
17:57:32.870,3,65536,267.908,675.606,291.640,41.949,242.866,25.827,7.343,187.053,193.465,4241.611,5201.004,0.196,839.275,34.495,83.008,7.814
17:57:33.413,3,262144,1060.894,1153.649,1096.712,18.021,922.371,102.297,28.432,701.392,202.712,4221.285,5423.942,0.176,836.336,31.080,82.467,7.764
17:57:34.575,3,1048576,4303.261,4780.012,4388.538,53.371,3649.261,447.977,111.067,2759.196,244.857,4262.408,5175.067,0.176,1548.911,30.171,96.418,7.373

17:57:34.914,4,1,13.745,32.558,14.936,2.089,13.831,0.136,0.513,13.732,220.403,4226.003,5144.613,4.007,930.456,96.640,97.915,14.556
17:57:35.238,4,4,13.755,30.745,15.037,1.907,13.894,0.126,0.548,13.537,216.356,4208.693,5299.119,0.362,899.736,95.752,96.291,7.002
17:57:35.573,4,16,10.358,30.975,14.963,2.092,13.780,0.176,0.572,13.884,195.679,4221.656,4971.053,7.229,949.538,96.712,99.527,7.834
17:57:35.899,4,64,13.775,65.697,15.555,5.417,13.903,0.129,0.594,13.854,194.377,4221.195,4889.868,7.425,948.627,97.101,99.477,7.894
17:57:36.236,4,256,11.340,69.945,13.227,6.104,11.595,0.251,0.393,11.770,321.534,4205.627,5672.295,0.382,821.006,91.811,85.159,7.553
17:57:36.559,4,1024,10.919,62.992,13.194,5.480,11.268,0.612,0.379,11.533,218.139,4073.020,5153.960,0.402,834.857,92.877,84.530,8.465
17:57:36.894,4,4050,13.073,67.871,15.073,5.705,12.206,1.520,0.388,11.735,334.597,4166.848,5083.895,0.402,842.900,98.959,85.446,8.495
17:57:37.237,4,16384,51.812,495.525,61.934,44.550,45.724,6.728,1.696,32.798,204.475,4086.134,4765.246,0.176,629.887,34.935,61.847,7.854
17:57:37.604,4,65536,184.249,528.954,204.644,35.493,158.031,26.466,5.642,106.342,205.988,4109.315,4566.371,0.176,646.011,24.472,53.460,9.427
17:57:38.065,4,262144,701.282,1136.489,741.629,43.428,572.498,104.091,21.209,387.761,219.973,4114.885,4550.332,0.186,665.956,20.916,55.851,8.185
17:57:39.109,4,1048576,3539.157,4000.311,3664.662,53.071,3007.769,400.584,84.424,2197.293,196.811,16180.061,5133.163,0.176,1446.504,25.384,86.014,8.355

17:57:39.443,5,1,8.385,27.810,9.468,2.139,8.489,0.128,0.388,9.217,227.937,4101.110,4632.990,0.451,693.502,86.683,68.241,8.936
17:57:39.764,5,4,8.425,24.904,9.275,1.814,8.307,0.124,0.373,8.908,202.321,4111.509,4570.458,0.715,680.562,86.022,66.393,8.225
17:57:40.097,5,16,11.140,29.573,12.278,2.135,11.295,0.158,0.392,11.336,215.024,4109.195,5065.722,0.500,800.611,90.634,82.041,8.195
17:57:40.430,5,64,11.390,64.325,13.104,5.536,11.647,0.131,0.385,11.647,198.104,4092.255,4595.513,0.431,818.165,91.988,84.253,8.064
17:57:40.775,5,256,8.495,59.166,10.176,5.495,8.622,0.259,0.388,8.971,188.036,4108.474,4569.557,0.421,687.252,87.911,66.880,8.355
17:57:41.096,5,1024,8.806,62.231,10.921,5.613,8.970,0.610,0.408,9.132,210.486,4081.926,4545.003,0.598,691.073,89.688,67.627,7.874
17:57:41.431,5,4050,9.447,63.884,11.931,5.593,9.068,1.524,0.385,9.058,307.779,4102.663,4504.020,0.313,692.464,92.153,67.700,7.564
17:57:41.760,5,16384,50.420,518.906,59.989,46.944,43.804,6.539,1.683,31.493,214.563,4091.764,4497.678,0.176,612.784,34.003,60.804,8.255
17:57:42.133,5,65536,222.287,605.050,241.544,38.975,195.213,26.072,5.555,142.291,205.707,4080.764,4926.424,0.176,770.723,29.069,67.646,10.048
17:57:42.642,5,262144,888.766,984.467,928.237,20.503,759.230,104.764,21.286,556.751,209.544,4072.790,4561.302,0.176,762.113,26.379,69.398,8.696
17:57:43.676,5,1048576,3567.217,3906.423,3662.074,48.467,3001.244,396.835,84.402,2199.939,222.627,4106.420,4997.761,0.176,1481.094,25.349,85.929,7.754

17:57:44.012,6,1,8.665,25.065,9.878,2.220,8.931,0.116,0.379,9.289,237.965,4140.431,4392.701,0.362,715.063,86.602,69.947,9.617
17:57:44.347,6,4,10.829,30.064,11.910,2.127,10.943,0.116,0.391,10.884,200.808,4078.971,4414.690,0.353,732.793,90.155,75.386,9.687
17:57:44.670,6,16,8.716,25.225,9.846,2.113,8.849,0.163,0.400,9.669,209.354,4098.135,4399.874,0.558,705.561,87.622,70.670,8.906
17:57:45.005,6,64,11.390,65.086,12.987,5.624,11.471,0.130,0.446,11.506,218.260,4133.438,4454.311,0.343,815.589,92.121,83.584,8.736
17:57:45.328,6,256,8.816,60.207,10.539,5.472,8.942,0.282,0.384,9.371,185.822,4092.375,4433.514,0.372,704.170,87.777,69.554,9.076
17:57:45.664,6,1024,11.330,63.383,13.603,5.495,11.624,0.627,0.386,11.513,201.149,4089.880,5171.922,0.343,810.818,92.621,83.523,8.495
17:57:46.010,6,4050,10.769,60.358,12.870,5.193,9.937,1.603,0.399,9.319,189.258,16119.844,5020.962,14.527,711.576,93.784,69.546,8.305
17:57:46.342,6,16384,49.859,440.917,58.735,39.300,43.415,6.526,1.702,31.596,203.463,4088.839,5018.809,0.176,631.376,33.907,60.004,9.277
17:57:46.708,6,65536,221.816,565.680,245.022,41.262,199.316,25.590,5.540,149.512,170.032,4080.764,4895.378,0.176,819.546,29.740,70.657,8.345
17:57:47.216,6,262144,878.548,964.912,920.630,17.329,750.436,104.432,21.628,550.747,209.594,4194.838,4578.753,0.176,762.093,26.163,68.890,9.126
17:57:48.317,6,1048576,2919.992,8044.760,4132.554,699.119,3379.705,449.644,104.793,2468.244,241.912,4100.199,4989.707,0.186,4880.934,28.236,98.648,8.375

17:57:48.666,7,1,11.070,31.326,12.184,2.201,11.207,0.117,0.394,12.175,207.601,16123.500,5050.445,0.627,878.312,92.150,88.847,8.696
17:57:49.003,7,4,10.839,28.351,11.971,2.141,10.952,0.140,0.407,11.802,294.365,4170.104,5055.103,0.392,858.514,91.458,86.455,8.395
17:57:49.327,7,16,11.040,26.728,12.126,1.988,11.174,0.164,0.379,11.975,213.391,4131.565,4990.989,0.353,852.882,92.133,86.909,7.894
17:57:49.670,7,64,11.170,64.575,12.906,5.569,11.422,0.132,0.399,11.909,200.147,4155.518,4617.923,0.343,850.570,92.102,86.911,8.495
17:57:49.994,7,256,8.796,58.855,10.608,5.292,9.020,0.281,0.396,10.170,230.261,4127.037,5069.739,0.333,772.780,89.576,75.798,9.156
17:57:50.339,7,1024,10.849,61.630,13.157,5.370,11.220,0.622,0.384,11.850,191.963,4128.630,4959.703,0.353,862.472,92.846,87.045,8.034
17:57:50.674,7,4050,12.683,61.840,15.085,5.414,12.185,1.589,0.386,12.270,208.572,4071.127,4551.024,0.421,875.373,99.148,89.360,9.727
17:57:51.022,7,16384,63.263,377.714,74.441,32.322,59.393,6.901,1.704,47.056,197.472,4066.108,4537.660,0.313,823.876,39.902,76.938,8.906
17:57:51.398,7,65536,223.890,576.930,240.595,36.142,193.691,26.665,5.697,144.548,201.460,4135.021,4502.076,0.176,816.284,29.105,68.408,9.407
17:57:51.958,7,262144,882.365,974.820,918.918,20.841,745.998,108.714,21.045,542.341,212.730,15759.070,5050.215,0.176,828.088,26.018,68.243,8.565
17:57:52.981,7,1048576,3558.903,3752.829,3667.507,34.652,3004.295,405.216,85.438,2197.090,198.785,4103.365,5059.591,0.176,1431.771,25.370,85.785,8.846

17:57:53.318,8,1,8.435,24.584,9.487,2.025,8.523,0.118,0.395,10.047,227.426,4109.996,4988.074,0.216,757.616,87.181,74.925,8.986
17:57:53.653,8,4,10.799,27.239,11.793,2.081,10.855,0.114,0.382,11.363,217.088,4115.125,5035.919,0.411,819.419,90.738,82.841,9.637
17:57:53.987,8,16,8.796,25.255,9.715,1.997,8.726,0.162,0.388,9.691,183.387,4094.869,4688.459,0.362,740.865,87.501,72.367,9.407
17:57:54.313,8,64,10.940,63.303,12.731,5.548,11.256,0.135,0.397,11.780,198.264,4076.296,4552.176,0.402,842.380,91.429,85.978,9.257
17:57:54.637,8,256,10.990,66.058,12.720,5.789,11.138,0.260,0.387,11.915,226.695,4141.302,5132.211,0.372,871.749,93.016,87.451,9.116
17:57:54.961,8,1024,11.030,60.949,13.284,5.308,11.387,0.606,0.385,12.068,232.044,4098.285,4973.918,0.441,863.696,93.962,88.011,9.116
17:57:55.299,8,4050,12.182,62.572,14.963,5.338,11.986,1.616,0.389,11.544,275.742,4169.182,4980.741,0.343,838.560,98.346,84.365,8.826
17:57:55.646,8,16384,63.153,124.653,68.976,8.060,56.873,6.690,1.736,43.455,210.366,4042.416,4573.724,0.284,773.525,38.046,70.812,9.427
17:57:56.041,8,65536,224.431,650.471,243.274,45.956,195.400,26.729,5.645,145.647,188.817,16164.684,5018.408,0.186,816.588,29.212,67.586,9.036
17:57:56.537,8,262144,878.228,976.894,922.717,21.063,747.298,108.322,21.209,546.391,225.202,4045.080,5085.317,0.186,828.098,26.136,68.705,9.717
17:57:57.558,8,1048576,3565.705,4139.539,3658.154,64.900,2997.942,403.776,83.965,2193.112,224.501,4061.810,4602.055,0.176,1452.372,25.332,85.934,8.245

17:57:57.896,9,1,11.190,27.269,12.206,1.972,11.246,0.132,0.379,12.049,228.668,4089.450,5101.827,0.666,851.481,92.267,87.142,9.096
17:57:58.233,9,4,10.930,27.569,12.025,1.895,11.052,0.122,0.390,11.543,284.999,4107.041,5000.887,0.343,824.532,91.361,83.688,8.084
17:57:58.556,9,16,8.766,24.654,9.868,2.195,8.857,0.188,0.398,9.531,201.670,4104.156,4598.789,0.411,724.996,87.608,70.963,8.826
17:57:58.892,9,64,11.040,65.246,13.124,5.645,11.668,0.130,0.388,11.925,192.674,4093.447,5245.603,0.362,859.915,92.812,87.127,8.756
17:57:59.215,9,256,11.070,61.690,12.966,5.434,11.398,0.273,0.382,11.971,206.739,4082.357,4953.232,0.353,856.986,92.012,87.428,8.145
17:57:59.550,9,1024,10.950,71.778,13.178,6.212,11.179,0.591,0.382,11.920,202.351,4128.590,4936.792,0.343,840.578,93.693,86.340,8.145
17:57:59.875,9,4050,11.941,65.056,15.195,5.945,12.184,1.609,0.389,12.096,233.807,4093.066,4904.324,0.353,904.359,99.765,89.839,8.896
17:58:00.221,9,16384,62.562,456.966,73.286,39.540,57.422,6.914,1.683,43.675,208.352,4045.822,4948.463,0.216,797.398,39.017,73.045,9.056
17:58:00.602,9,65536,223.349,649.549,239.773,43.125,192.588,26.501,5.601,140.483,294.626,4140.491,5000.416,0.186,768.157,28.667,65.484,8.625
17:58:01.089,9,262144,736.765,1178.173,813.573,106.193,631.123,111.382,22.226,425.897,198.835,4141.392,5045.095,0.176,822.436,22.743,60.343,9.487
17:58:02.132,9,1048576,3576.043,3769.028,3683.342,42.935,3011.802,411.950,86.251,2205.812,281.933,4080.614,4972.626,0.176,1470.220,25.467,86.201,10.278

17:58:02.472,10,1,13.895,35.533,15.402,2.312,14.178,0.119,0.650,13.544,213.802,4262.789,5574.010,0.519,909.169,96.240,96.371,7.654
17:58:02.809,10,4,13.284,31.837,15.021,1.964,13.900,0.121,0.548,13.468,218.330,4267.467,5044.605,0.519,898.629,96.090,95.591,7.393
17:58:03.146,10,16,12.933,31.356,14.457,1.992,13.256,0.158,0.601,12.834,204.766,4263.731,5375.014,0.676,865.313,94.749,91.480,7.143
17:58:03.472,10,64,13.364,64.335,15.252,5.411,13.551,0.132,0.637,13.000,208.212,4259.593,5313.434,4.780,883.024,94.950,93.236,6.752
17:58:03.808,10,256,13.464,68.863,15.533,5.807,13.737,0.260,0.559,13.179,201.680,4259.343,5279.654,7.984,893.574,96.625,94.077,7.213
17:58:04.144,10,1024,13.674,66.819,16.482,5.622,14.307,0.616,0.627,13.261,295.387,4241.631,5376.707,3.860,884.042,97.903,94.362,7.313
