timestamp,repetition,size_bytes,throughput
13:45:12.080,1,1024,3.06
13:45:13.753,1,4096,6.88
13:45:15.421,1,16384,12.78
13:45:17.086,1,65536,15.01
13:45:18.752,1,262144,15.45
13:45:20.416,1,1048576,13.18

13:45:22.110,2,1024,3.16
13:45:23.783,2,4096,7.51
13:45:25.447,2,16384,15.05
13:45:27.113,2,65536,14.94
13:45:28.784,2,262144,12.59
13:45:30.457,2,1048576,14.95

13:45:32.175,3,1024,2.17
13:45:33.850,3,4096,7.38
13:45:35.524,3,16384,11.43
13:45:37.193,3,65536,11.02
13:45:38.866,3,262144,12.08
13:45:40.536,3,1048576,12.70

13:45:42.255,4,1024,2.16
13:45:43.930,4,4096,7.59
13:45:45.604,4,16384,11.15
13:45:47.276,4,65536,11.03
13:45:48.939,4,262144,17.17
13:45:50.605,4,1048576,11.62

13:45:52.299,5,1024,3.13
13:45:58.154,5,4096,0.03
13:45:59.817,5,16384,12.51
13:46:01.479,5,65536,14.97
13:46:03.142,5,262144,15.60
13:46:04.812,5,1048576,13.01

13:46:06.530,6,1024,2.17
13:46:09.978,6,4096,0.07
13:46:11.648,6,16384,11.60
13:46:13.321,6,65536,10.97
13:46:14.993,6,262144,12.77
13:46:16.665,6,1048576,14.71

13:46:19.686,7,1024,0.09
13:46:24.996,7,4096,0.03
13:46:26.661,7,16384,12.71
13:46:28.322,7,65536,16.90
13:46:29.983,7,262144,15.97
13:46:31.647,7,1048576,13.56

13:46:33.340,8,1024,3.15
13:46:35.007,8,4096,7.48
13:46:36.670,8,16384,12.86
13:46:38.331,8,65536,14.76
13:46:39.996,8,262144,15.82
13:46:41.660,8,1048576,12.91

13:46:43.352,9,1024,3.16
13:46:45.029,9,4096,7.49
13:46:46.692,9,16384,12.84
13:46:48.354,9,65536,14.87
13:46:50.016,9,262144,15.78
13:46:51.687,9,1048576,12.05

13:46:55.119,10,1024,0.07
13:46:56.794,10,4096,7.67
13:46:58.467,10,16384,11.26
13:47:00.138,10,65536,10.52
13:47:01.808,10,262144,11.85
13:47:03.481,10,1048576,11.90

