timestamp,repetition,size_bytes,avg_send,send_stddev,window_init,rvsocket,rvbind,rvlisten,rvconnect,rvaccept
16:45:52.205,1,1024,4.479,0.643,9.620,239.410,4.350,8.360,89098.398,42365.221
16:45:53.917,1,2048,2.895,0.385,2.080,166.388,2.784,5.301,53177.779,27121.314
16:45:55.628,1,4096,5.616,0.740,2.970,239.850,3.049,5.689,80610.854,26812.965
16:45:57.344,1,8192,7.951,1.036,3.180,276.220,4.520,8.560,80658.774,40885.128
16:45:59.066,1,16384,10.254,1.002,3.270,296.390,4.250,8.160,81677.576,41530.389
16:46:00.798,1,32768,15.810,1.095,3.290,258.830,4.300,8.470,79146.832,40785.018
16:46:02.559,1,65536,25.595,1.440,3.340,259.520,4.310,8.090,79052.892,40762.518
16:46:04.392,1,131072,30.671,2.865,2.005,167.588,4.270,8.630,51536.639,41710.780
16:46:06.326,1,262144,64.384,1.351,2.057,154.973,4.290,8.610,50728.014,40643.718
16:46:08.459,1,524288,157.736,3.094,3.130,259.470,2.763,5.402,80062.203,26964.388
16:46:10.992,1,1048576,303.803,4.563,3.250,257.600,2.642,5.517,80668.634,26697.686

16:46:12.695,2,1024,3.891,0.616,3.300,272.040,2.826,5.535,80184.814,26791.554
16:46:14.398,2,2048,4.456,0.666,3.250,259.230,3.318,5.513,79214.132,26566.615
16:46:16.108,2,4096,5.326,0.634,3.160,257.550,2.798,5.517,80994.365,27072.426
16:46:17.820,2,8192,7.521,0.988,3.230,263.100,4.520,8.340,80109.334,41669.529
16:46:19.538,2,16384,10.275,0.972,3.250,268.550,4.490,8.190,79417.492,41834.220
16:46:21.270,2,32768,16.008,1.011,2.900,260.030,4.300,8.820,79054.092,40950.808
16:46:23.032,2,65536,26.269,1.383,3.260,271.170,10.000,8.240,80484.234,41213.729
16:46:24.857,2,131072,47.116,1.516,3.150,263.870,4.290,8.220,80366.264,41279.299
16:46:26.801,2,262144,98.910,2.677,10.020,240.620,4.590,9.020,79165.742,40618.558
16:46:28.943,2,524288,185.345,3.253,2.930,241.030,4.380,8.460,78064.020,39779.906
16:46:31.528,2,1048576,374.136,5.091,2.920,243.180,4.340,8.330,78886.191,41034.468

16:46:33.233,3,1024,3.865,0.549,3.180,258.230,2.919,5.494,80616.154,27162.153
16:46:34.939,3,2048,4.480,0.570,3.210,263.990,2.687,5.212,80429.674,26862.267
16:46:36.647,3,4096,3.458,0.409,2.342,171.254,2.856,5.530,52094.890,26956.580
16:46:38.360,3,8192,4.884,0.588,2.056,170.233,4.330,8.300,52043.904,41335.729
16:46:40.078,3,16384,10.414,1.060,3.230,262.030,4.470,8.390,80048.293,40975.508
16:46:41.811,3,32768,16.603,0.921,3.080,264.100,4.200,8.350,78902.352,41014.168
16:46:43.577,3,65536,27.613,2.902,3.360,265.110,4.280,8.650,79564.823,41255.679
16:46:45.394,3,131072,47.576,1.697,3.050,261.170,2.811,5.278,79942.513,27020.743
16:46:47.314,3,262144,55.174,1.411,2.089,169.978,2.743,5.330,51943.112,27032.842
16:46:49.438,3,524288,155.979,2.789,3.410,271.150,2.761,5.548,80113.334,26854.880
16:46:52.016,3,1048576,368.775,4.819,2.900,239.580,2.839,5.515,79689.313,26210.443

16:46:53.721,4,1024,4.459,0.631,2.990,239.470,4.540,8.230,78951.782,40596.588
16:46:55.424,4,2048,4.951,0.660,3.400,255.130,4.440,8.050,78270.760,39998.167
16:46:57.130,4,4096,5.923,0.676,3.090,243.240,4.380,8.040,79493.082,41412.499
