timestamp,repetition,size_bytes,min_send,max_send,avg_send,std_dev_send,avg_buffer_setup,avg_wr_setup,avg_poll,window_init,rvsocket_setup,rvconnect,min_recv,max_recv,avg_recv,std_dev_recv,rvbind,rvaccept
16:19:31.013,1,1,13.220,36.880,13.734,1.037,13.397,0.049,12.224,231.440,15.960,18307.272,0.090,328.271,26.503,10.252,3.300,20125.155
16:19:33.156,1,4,12.910,56.680,13.464,1.641,13.133,0.049,12.167,213.730,5.760,9611.142,0.053,184.036,17.106,6.164,3.127,12240.619
16:19:35.304,1,16,12.840,47.370,13.265,1.178,12.935,0.050,11.902,212.470,6.650,9485.202,0.090,339.560,25.341,11.063,4.500,18631.533
16:19:37.452,1,64,12.660,71.260,13.359,1.944,13.026,0.050,12.041,220.600,6.620,9313.201,0.080,307.731,25.622,9.956,5.520,18728.443
16:19:39.600,1,256,13.020,39.930,13.534,1.363,13.200,0.050,12.247,214.580,6.030,9249.311,0.080,324.180,26.011,10.508,4.400,18768.633
16:19:41.747,1,1024,12.700,32.000,13.147,1.008,12.798,0.050,12.165,215.470,6.520,21384.336,0.080,320.851,25.528,10.381,3.890,18690.763
16:19:43.897,1,4096,13.620,34.050,14.460,1.335,14.110,0.049,13.199,214.210,6.550,9185.861,0.080,338.920,28.025,10.981,4.570,18893.843
16:19:46.048,1,16384,15.690,33.270,16.238,0.887,15.909,0.049,14.864,216.050,5.670,9744.462,0.080,294.780,31.669,9.651,4.140,18478.713
16:19:48.210,1,65536,22.830,57.690,23.928,1.691,23.593,0.050,20.654,221.270,5.670,9439.441,0.080,296.750,45.979,9.770,4.450,18638.343
16:19:50.408,1,262144,51.160,71.180,52.349,1.630,52.006,0.050,39.238,211.720,6.520,9314.381,0.080,376.311,96.309,11.543,4.790,18704.763
16:19:52.770,1,1048576,166.720,190.010,170.120,2.242,169.688,0.065,117.321,222.950,7.840,33399.041,0.300,667.771,311.091,16.376,4.990,20381.165

16:19:54.629,2,1,11.280,26.980,11.944,0.884,11.604,0.054,10.572,209.370,5.790,9183.931,0.110,289.031,22.715,9.549,4.010,18878.743
16:19:56.780,2,4,12.870,34.630,13.464,1.181,13.118,0.069,12.045,215.670,5.470,9337.342,0.080,312.620,25.708,10.179,4.360,18637.403
16:19:58.927,2,16,12.760,37.620,13.334,1.205,12.994,0.050,11.972,222.040,5.610,9379.741,0.080,295.440,25.504,9.644,5.010,18539.723
16:20:01.074,2,64,12.820,38.760,13.268,1.222,12.910,0.049,11.985,212.320,6.640,9349.031,0.080,276.840,25.501,9.311,5.010,18668.843
16:20:03.223,2,256,12.960,36.110,13.419,0.879,13.086,0.049,12.200,214.000,5.490,9293.521,0.080,285.280,25.871,9.586,4.040,18717.383
16:20:05.367,2,1024,9.360,27.350,11.722,0.682,11.397,0.049,10.838,216.740,5.870,9395.392,0.080,347.680,22.720,11.156,4.300,18612.873
16:20:07.518,2,4096,13.560,37.860,14.027,0.886,13.695,0.049,12.921,213.110,5.630,9422.481,0.080,275.720,27.251,9.279,4.670,18608.213
16:20:09.670,2,16384,15.300,49.260,16.127,1.538,15.775,0.050,14.627,220.410,5.520,9259.951,0.080,294.251,31.269,9.591,5.470,18830.783
16:20:11.832,2,65536,22.900,64.020,23.688,1.678,23.352,0.049,20.942,217.830,5.600,9424.682,0.080,276.090,46.053,9.135,4.450,18602.913
16:20:14.031,2,262144,51.660,90.740,52.831,1.981,52.490,0.049,39.714,214.720,5.630,9265.302,0.080,398.900,97.428,12.043,4.270,18729.133
16:20:16.392,2,1048576,166.860,186.390,170.013,2.187,169.604,0.057,117.248,214.590,5.840,9326.782,0.210,600.071,310.729,15.104,4.550,18680.543

16:20:18.254,3,1,12.790,48.440,13.408,1.542,13.073,0.050,12.038,220.460,5.490,9414.952,0.090,271.500,25.653,9.175,4.250,18584.233
16:20:20.399,3,4,11.160,32.980,12.085,1.162,11.754,0.049,10.720,223.330,5.820,9365.501,0.080,278.460,22.973,9.235,5.090,18701.943
16:20:22.549,3,16,12.950,35.190,13.347,0.923,13.017,0.050,12.098,212.900,5.850,9302.651,0.080,381.971,25.700,12.312,4.760,18725.903
16:20:24.694,3,64,11.460,31.910,11.951,0.828,11.617,0.050,10.698,217.890,5.630,9289.811,0.080,277.170,22.776,9.043,4.620,18743.363
16:20:26.844,3,256,13.140,33.850,13.564,1.026,13.228,0.049,12.320,216.580,5.780,9208.141,0.080,341.280,26.155,10.893,4.260,18829.463
16:20:28.992,3,1024,12.720,46.970,13.152,1.241,12.814,0.049,12.132,216.450,5.910,9405.961,0.080,288.471,25.543,9.437,4.740,18615.523
16:20:31.141,3,4096,13.640,48.720,14.206,1.545,13.872,0.049,12.970,218.960,6.620,9439.701,0.080,322.631,27.525,10.605,5.160,18614.583
16:20:33.292,3,16384,15.620,36.230,16.114,1.013,15.777,0.050,14.718,212.230,5.260,9332.471,0.080,313.771,31.383,10.116,4.760,18682.303
16:20:35.452,3,65536,22.820,53.570,23.668,1.560,23.336,0.050,20.278,200.830,5.390,9055.261,0.080,296.030,45.268,9.470,3.930,19115.763
16:20:37.654,3,262144,51.480,76.290,52.732,1.633,52.388,0.049,39.843,217.530,6.550,9339.062,0.180,376.780,97.370,11.501,5.090,18705.863
16:20:40.015,3,1048576,166.640,186.250,170.099,2.447,169.699,0.061,117.601,211.950,5.780,9317.861,1.320,628.991,311.234,15.649,3.910,18783.193

16:20:41.877,4,1,12.820,29.280,13.293,0.739,12.961,0.049,12.014,216.820,5.880,9248.562,0.080,280.280,25.503,9.241,4.600,18851.493
16:20:44.025,4,4,12.660,47.130,13.389,1.359,13.046,0.054,12.025,217.380,5.690,9312.261,0.080,309.950,25.680,10.144,4.480,18693.123
16:20:46.172,4,16,12.980,31.800,13.354,0.798,13.008,0.049,12.011,215.620,5.600,9327.291,0.090,292.191,25.549,9.658,4.360,18742.303
16:20:48.320,4,64,12.740,51.090,13.448,1.763,13.107,0.050,12.139,212.570,5.440,9369.731,0.080,298.460,25.843,9.830,3.870,18689.143
16:20:50.466,4,256,12.480,44.490,13.173,1.173,12.837,0.049,11.968,212.560,5.210,9341.522,0.080,290.580,25.394,9.634,4.470,18757.653
16:20:52.614,4,1024,12.560,32.980,12.984,1.026,12.653,0.049,11.989,219.030,6.380,9345.901,0.080,329.671,25.194,10.522,5.510,18656.743
16:20:54.764,4,4096,13.760,37.490,14.369,1.127,14.037,0.050,13.146,212.520,6.850,9313.161,0.080,304.300,27.853,9.897,5.020,18681.473
16:20:56.914,4,16384,15.390,44.310,15.863,1.308,15.519,0.049,14.507,211.630,6.300,9387.711,0.080,348.450,30.955,11.289,4.180,18697.493
16:20:59.077,4,65536,23.040,42.410,23.773,1.063,23.433,0.053,20.261,213.420,5.530,9290.431,0.080,362.691,45.567,11.417,4.800,18789.983
16:21:01.277,4,262144,34.390,50.811,35.090,1.009,34.860,0.033,26.465,226.470,3.756,6209.595,0.126,259.739,64.796,7.855,4.710,18755.953
16:21:03.639,4,1048576,166.870,187.020,170.460,2.237,170.065,0.059,118.020,208.070,5.410,9351.471,0.200,621.381,311.922,15.709,4.680,18736.153

16:21:05.499,5,1,12.980,54.780,13.508,1.997,13.161,0.050,12.036,220.050,5.900,9349.651,0.053,180.604,17.079,6.058,3.499,12336.782
16:21:07.646,5,4,12.950,32.170,13.393,1.086,13.030,0.050,11.957,213.220,5.740,9347.531,0.080,286.780,25.549,9.410,3.840,18699.973
16:21:09.794,5,16,12.700,30.260,13.122,0.878,12.792,0.049,11.861,207.280,7.690,9364.382,0.090,301.220,25.188,9.947,4.300,18651.903
16:21:11.941,5,64,12.810,33.890,13.343,1.122,13.012,0.049,12.064,215.630,6.470,9438.381,0.080,298.370,25.606,9.767,5.680,18611.823
16:21:14.090,5,256,12.930,29.260,13.515,0.716,13.170,0.049,12.450,227.250,5.750,9373.802,0.080,280.600,26.167,9.576,5.390,18618.753
16:21:16.236,5,1024,8.227,33.347,8.558,1.052,8.338,0.033,7.915,214.720,3.597,6247.965,0.053,204.428,16.531,6.650,5.210,18702.023
16:21:18.386,5,4096,13.750,32.160,14.221,0.802,13.887,0.049,13.071,211.000,5.790,9276.911,0.080,291.620,27.591,9.467,4.280,18738.523
16:21:20.537,5,16384,15.490,48.070,16.051,1.231,15.723,0.049,14.473,213.760,6.370,9290.651,0.080,285.371,31.070,9.505,4.310,18759.653
16:21:22.700,5,65536,23.040,59.700,23.910,1.600,23.577,0.050,20.958,208.030,5.630,21839.987,0.080,334.900,46.315,10.697,4.160,19481.764
16:21:24.899,5,262144,51.950,75.700,52.879,1.415,52.534,0.049,39.590,212.320,5.650,9253.571,0.080,382.630,97.342,11.598,4.170,18815.373
16:21:27.260,5,1048576,167.370,182.570,170.295,2.009,169.892,0.059,117.385,220.580,7.290,9321.782,0.270,639.811,311.406,15.700,4.080,18673.293

16:21:29.122,6,1,12.820,32.560,13.309,1.116,12.973,0.049,11.920,216.900,5.700,9428.212,0.090,319.731,25.448,10.369,4.780,18612.763
16:21:31.269,6,4,12.800,30.650,13.396,0.935,13.061,0.049,11.979,211.850,5.470,9347.871,0.080,326.111,25.526,10.583,3.900,18584.333
16:21:33.417,6,16,12.960,35.590,13.504,1.131,13.172,0.049,12.111,218.930,6.000,9297.121,0.080,261.411,25.756,8.794,5.170,18845.363
16:21:35.562,6,64,10.260,30.960,12.118,1.206,11.763,0.049,10.765,224.450,6.060,9259.462,0.053,210.982,15.290,6.921,5.830,18743.163
16:21:37.710,6,256,12.660,40.990,13.062,1.229,12.722,0.049,11.883,212.990,5.400,9356.782,0.080,268.011,25.148,8.847,4.700,18669.873
16:21:39.858,6,1024,12.520,36.600,12.986,1.011,12.655,0.049,12.086,212.910,5.690,9348.211,0.080,304.611,25.265,9.867,4.390,18692.603
16:21:42.009,6,4096,13.300,49.130,14.027,1.524,13.691,0.049,12.845,214.810,5.790,9433.412,0.080,300.950,27.213,9.888,4.350,18674.463
16:21:44.160,6,16384,15.610,37.570,16.100,1.128,15.767,0.050,14.591,213.770,5.880,9349.441,0.080,285.400,31.214,9.472,4.750,18723.103
16:21:46.322,6,65536,22.860,45.170,23.631,1.177,23.297,0.049,20.418,216.160,5.430,9218.121,0.080,310.480,45.408,9.903,7.170,18699.473
16:21:48.521,6,262144,51.770,71.570,52.774,1.466,52.443,0.049,40.301,211.860,6.290,9356.622,0.080,367.360,97.884,11.218,4.600,18639.963
16:21:50.883,6,1048576,167.300,184.280,170.552,2.134,170.146,0.061,117.389,227.520,5.950,9304.181,0.200,622.691,311.668,15.522,5.060,18662.203

16:21:52.744,7,1,12.790,33.550,13.388,1.014,13.055,0.049,12.092,221.940,5.690,20853.595,0.090,270.920,25.639,8.947,4.100,7260.739
16:21:54.891,7,4,12.960,26.340,13.422,0.732,13.084,0.050,12.018,213.790,9.800,9270.542,0.080,295.271,25.592,9.600,4.460,18318.042
16:21:57.039,7,16,12.980,36.490,13.428,0.886,13.088,0.049,12.025,220.040,6.890,9334.451,0.090,333.240,25.644,10.666,4.790,18585.453
16:21:59.186,7,64,12.630,28.880,13.296,0.659,12.962,0.049,12.066,215.260,5.540,9225.431,0.080,279.991,25.510,9.108,4.500,7343.019
16:22:01.331,7,256,11.440,29.640,11.947,0.706,11.621,0.049,10.793,209.460,6.240,9305.802,0.080,272.020,22.935,9.109,3.810,18757.223
16:22:03.478,7,1024,10.710,36.820,11.707,1.299,11.369,0.049,10.817,216.720,5.770,9447.752,0.080,324.500,22.742,10.651,4.140,19385.914
16:22:05.628,7,4096,12.010,42.380,12.757,1.364,12.420,0.049,11.584,217.280,5.460,9337.282,0.080,276.360,24.662,9.119,5.110,18768.033
16:22:07.782,7,16384,15.820,57.270,16.265,1.715,15.932,0.049,14.776,222.600,6.180,9415.042,0.080,288.560,31.558,9.513,5.390,18600.013
16:22:09.945,7,65536,22.920,48.130,23.815,1.203,23.483,0.049,20.555,224.970,5.900,9261.021,0.080,363.231,45.827,11.505,4.030,18754.703
16:22:12.143,7,262144,51.840,67.180,52.817,1.370,52.481,0.050,39.945,210.510,7.970,9279.891,0.080,381.430,97.586,11.365,3.970,18759.013
16:22:14.506,7,1048576,167.400,195.660,170.563,2.296,170.156,0.063,117.633,214.370,5.760,9323.741,0.280,661.871,311.792,16.220,4.380,18728.813

16:22:16.363,8,1,11.610,33.540,11.993,0.832,11.664,0.049,10.635,216.420,5.800,9286.082,0.090,263.460,22.786,8.815,4.140,18653.383
16:22:18.514,8,4,13.040,32.720,13.441,0.979,13.108,0.049,12.038,212.620,6.010,9308.082,0.080,300.260,25.703,9.850,5.280,18661.143
16:22:20.662,8,16,12.930,31.700,13.505,1.145,13.173,0.049,12.165,216.470,5.740,9346.441,0.090,341.840,25.917,11.130,4.360,18666.233
16:22:22.810,8,64,8.638,20.357,8.937,0.566,8.711,0.033,8.074,217.160,5.167,5995.853,0.053,217.703,17.143,7.138,4.120,19024.833
16:22:24.956,8,256,12.630,25.030,12.980,0.620,12.649,0.049,11.908,215.740,14.860,9397.352,0.080,349.680,25.074,11.270,4.200,18638.193
16:22:27.103,8,1024,12.190,48.860,12.722,1.301,12.394,0.049,11.833,208.700,5.220,9461.702,0.080,268.770,24.745,8.901,4.400,18682.103
16:22:29.252,8,4096,12.040,47.040,12.985,1.359,12.650,0.049,11.791,225.760,5.910,9237.531,0.080,292.420,25.037,9.585,5.320,18779.903
16:22:31.404,8,16384,15.460,43.510,16.108,1.281,15.769,0.049,14.697,220.810,5.630,9285.141,0.080,335.451,31.385,10.720,4.460,18635.053
16:22:33.566,8,65536,22.490,41.490,23.489,0.927,23.145,0.050,20.649,215.850,6.120,9257.591,0.080,309.260,45.487,10.060,3.460,18678.253
16:22:35.766,8,262144,51.520,76.370,52.609,1.505,52.276,0.049,39.801,218.910,6.510,9300.701,0.170,401.930,97.319,12.005,4.480,18632.193
16:22:38.127,8,1048576,167.370,235.110,170.443,3.016,170.046,0.063,117.468,208.040,6.390,9246.442,0.210,617.381,311.337,15.398,4.160,18808.963

