timestamp,repetition,size_bytes,min_send,max_send,avg_send,std_dev_send,avg_buffer_setup,avg_wr_setup,avg_poll,window_init,rvsocket_setup,rvconnect,min_recv,max_recv,avg_recv,std_dev_recv,rvbind,rvaccept
14:49:21.399,1,1,11.710,224.980,12.455,6.967,11.928,0.049,1304.078,233.620,16.710,18728.411,0.090,1276683.144,1300.015,40351.337,4.760,19770.622
14:49:23.545,1,4,11.610,33.590,12.298,1.536,11.962,0.049,1851.475,219.710,5.800,9805.986,0.090,1822960.836,1846.484,57617.510,5.320,19423.482
14:49:25.696,1,16,12.860,36.950,13.700,1.562,13.352,0.049,1856.557,222.700,6.000,9503.065,0.090,1827399.344,1853.538,57757.715,4.500,18785.380
14:49:27.844,1,64,13.160,31.910,13.745,1.206,13.403,0.051,1853.385,213.660,6.190,9369.655,0.080,1823874.138,1850.227,57646.286,4.620,18901.101
14:49:29.990,1,256,7.261,30.641,9.053,1.021,8.829,0.033,1220.231,223.920,3.972,13816.616,0.053,1198787.536,1216.033,37889.486,4.300,19316.021
14:49:32.137,1,1024,12.610,45.570,13.171,1.449,12.826,0.050,1853.171,214.770,5.690,9304.245,0.080,1823846.338,1849.377,57645.434,4.700,18943.271
14:49:34.293,1,4096,13.900,35.960,14.447,1.349,14.100,0.049,1842.656,216.770,6.080,21259.495,0.080,1812414.059,1845.596,57284.113,4.500,18849.881
14:49:36.438,1,16384,15.820,38.700,16.505,1.616,16.145,0.049,1849.655,221.600,6.040,9253.155,0.080,1817848.038,1849.402,57455.655,4.360,19037.921
14:49:38.600,1,65536,23.280,41.930,23.996,1.256,23.659,0.052,1857.263,216.010,6.040,9243.615,0.080,1819317.090,1865.473,57501.625,4.570,18942.871
14:49:40.799,1,262144,51.910,71.880,53.004,1.504,52.651,0.050,1862.056,214.790,5.620,9325.455,0.080,1804762.287,1903.026,57039.944,4.910,18847.311
14:49:43.163,1,1048576,132.260,186.300,170.433,2.783,170.032,0.061,1888.224,215.910,6.050,9316.215,0.210,1753269.712,2065.888,55405.642,4.230,18933.091

14:49:45.023,2,1,13.120,37.910,13.621,1.398,13.280,0.050,1566.058,224.660,5.770,9383.775,0.090,1536782.559,1562.823,48572.204,5.230,18808.081
14:49:47.168,2,4,11.590,32.270,12.136,1.377,11.798,0.049,1850.116,217.810,5.950,9337.325,0.090,1822225.645,1845.427,57594.282,4.300,18790.001
14:49:49.318,2,16,13.090,36.570,13.659,1.480,13.323,0.049,1855.912,213.510,5.850,9379.265,0.080,1814802.683,1840.838,57359.576,4.960,18732.811
