timestamp,repetition,size_bytes,avg_send,send_stddev,window_init,rvsocket,rvbind,rvlisten,rvconnect,rvaccept
17:49:13.350,1,1,3.578,1.549,11.470,255.683,2.833,5.146,22147.851,6366.605
17:49:14.995,1,4,3.590,1.436,2.980,232.754,2.724,5.105,24024.909,5099.479
17:49:16.637,1,16,3.445,1.256,3.060,241.424,2.843,4.680,23573.731,5041.035
17:49:18.282,1,64,3.902,1.564,3.050,250.233,2.946,4.698,23595.621,5067.072
17:49:19.923,1,256,4.058,1.548,3.310,243.823,2.746,4.914,23515.613,4975.616
17:49:21.567,1,1024,4.435,1.506,3.180,241.554,2.946,4.761,23600.311,5051.112
17:49:23.213,1,4096,5.821,1.388,3.230,244.053,2.900,4.782,23539.802,5036.075
17:49:24.872,1,16384,10.855,1.902,3.210,263.583,2.733,4.902,15255.127,4956.941
17:49:26.571,1,65536,27.397,3.388,3.620,249.273,2.801,4.653,15200.828,5074.859
17:49:28.427,1,262144,56.352,6.317,2.238,159.051,2.828,4.677,15240.263,4959.128
17:49:30.906,1,1048576,337.526,29.606,3.170,239.854,4.540,7.250,23478.264,7653.326

17:49:32.547,2,1,2.221,1.481,1.823,153.988,2.941,4.960,15270.486,5003.599
17:49:34.190,2,4,2.229,0.892,2.186,162.028,3.055,4.463,15223.127,5015.651
17:49:35.832,2,16,3.427,1.453,3.180,240.424,2.967,4.635,23591.081,5024.830
17:49:37.482,2,64,2.528,0.877,2.316,140.627,4.460,6.970,15327.435,7802.862
17:49:39.129,2,256,2.237,1.152,2.293,174.817,2.694,4.660,15408.062,5163.138
17:49:40.777,2,1024,4.618,1.542,3.210,243.244,2.778,4.927,23874.033,5147.739
17:49:42.424,2,4096,5.744,1.698,3.170,245.943,4.290,6.940,23592.371,7831.781
17:49:44.081,2,16384,10.707,1.899,3.660,251.933,4.300,7.390,23549.292,7734.564
17:49:45.779,2,65536,27.190,3.555,3.100,249.663,4.490,7.080,23602.911,7794.892
17:49:47.635,2,262144,85.107,9.703,3.130,243.184,4.210,7.270,23831.644,7815.492
17:49:50.122,2,1048576,344.387,29.542,3.060,240.974,2.680,4.308,23237.230,4970.188

17:49:51.764,3,1,3.423,1.419,3.080,243.634,2.858,4.871,23546.012,5079.528
17:49:53.406,3,4,3.424,2.246,3.140,241.394,4.300,6.700,23593.921,7723.104
17:49:55.049,3,16,3.416,1.476,3.210,252.253,4.730,7.130,23532.152,7789.542
17:49:56.695,3,64,3.881,1.159,3.290,249.833,4.360,6.830,23840.454,7923.929
17:49:58.338,3,256,4.045,1.114,3.080,244.413,2.770,4.748,23536.242,5066.595
17:49:59.982,3,1024,2.876,0.784,2.161,158.916,2.788,4.708,15291.661,5059.439
17:50:01.626,3,4096,5.785,1.350,3.260,242.584,2.781,4.331,23436.715,4927.945
17:50:03.285,3,16384,10.897,1.813,2.910,238.214,2.889,4.712,23383.596,4880.247
17:50:04.986,3,65536,17.753,2.391,2.005,156.536,2.823,4.406,15228.949,4983.886
17:50:06.841,3,262144,87.280,10.102,3.320,244.693,2.816,4.841,23678.539,5018.897
17:50:09.326,3,1048576,348.347,28.865,2.940,241.654,4.640,6.820,23471.494,7757.663

17:50:10.972,4,1,3.471,1.266,3.190,241.394,4.520,7.530,23752.497,7711.214
17:50:12.616,4,4,3.435,1.128,3.030,252.843,4.380,6.880,23319.248,7667.606
17:50:14.265,4,16,2.888,1.306,3.580,273.063,3.121,4.685,24123.877,5174.587
17:50:15.912,4,64,3.266,1.226,3.380,263.523,4.170,6.540,23766.086,8024.616
17:50:17.557,4,256,4.283,1.309,3.150,254.053,4.310,7.760,23805.965,7965.618
17:50:19.199,4,1024,4.263,1.225,2.980,235.304,4.270,7.050,23571.861,7790.322
17:50:20.845,4,4096,6.069,3.376,3.230,231.794,4.320,7.610,23734.217,7839.111
17:50:22.505,4,16384,10.975,1.846,3.050,245.013,4.410,7.440,23801.955,7941.778
17:50:24.204,4,65536,27.972,3.350,3.110,251.233,4.680,7.280,23546.502,7795.152
17:50:26.063,4,262144,90.001,9.857,3.070,249.903,2.900,5.008,23649.869,5068.680
17:50:28.585,4,1048576,380.928,32.232,3.190,240.564,2.919,4.989,23429.905,5045.916

17:50:30.226,5,1,3.426,1.122,3.260,247.253,4.330,7.410,23526.583,7811.152
17:50:31.868,5,4,3.453,1.165,3.200,242.984,4.370,7.200,23758.296,7744.143
17:50:33.510,5,16,2.232,0.766,1.953,157.536,2.893,5.164,15370.601,5022.597
17:50:35.152,5,64,3.872,1.165,4.080,253.153,4.300,7.860,23507.273,7779.923
17:50:36.793,5,256,4.037,1.522,3.130,240.834,2.738,4.632,23530.183,5006.415
17:50:38.437,5,1024,4.440,1.177,3.020,242.754,4.290,7.550,23491.264,7663.646
17:50:40.084,5,4096,5.660,1.347,3.230,244.113,4.290,7.500,23676.489,7801.322
17:50:41.744,5,16384,11.880,2.211,3.210,239.074,2.686,4.671,23883.583,5145.974
17:50:43.444,5,65536,26.937,3.613,3.050,246.623,4.280,7.150,23677.349,7783.642
17:50:45.300,5,262144,90.634,9.935,3.200,241.804,2.848,5.001,23744.297,5082.366
17:50:47.820,5,1048576,384.386,31.235,3.220,236.984,4.390,7.000,23916.892,7955.538

17:50:49.462,6,1,3.438,1.130,3.280,247.693,4.200,7.000,23613.700,7928.759
17:50:51.105,6,4,3.434,1.143,3.380,240.894,4.210,6.840,23605.151,7766.623
17:50:52.746,6,16,3.450,1.185,3.440,240.694,4.180,7.680,23822.685,7851.251
17:50:54.390,6,64,3.900,1.157,3.030,235.664,4.350,7.400,23677.779,7698.835
17:50:56.032,6,256,4.045,1.112,3.070,235.594,4.430,7.040,23674.889,7750.303
17:50:57.677,6,1024,4.374,1.234,3.160,247.653,2.789,4.904,23994.830,5111.939
17:50:59.323,6,4096,5.612,1.261,3.160,237.354,4.250,7.310,23695.878,7749.043
17:51:00.980,6,16384,10.704,2.056,2.890,237.844,4.300,7.310,23681.348,7746.493
17:51:02.679,6,65536,27.198,3.812,2.980,247.523,2.685,4.572,23658.109,5007.624
