timestamp,repetition,size_bytes,min_us,max_us,avg_us,std_dev,avg_buffer_setup,avg_wr_setup,avg_poll,window_init,rvsocket_setup
17:13:41.407,1,1,12.460,21.531,13.791,0.961,13.461,0.049,1.375,216.560,9.024
17:13:47.838,1,4,12.480,57.242,13.976,2.155,13.639,0.056,4327.561,214.130,9.443
17:13:49.998,1,16,12.100,21.541,13.429,0.925,13.102,0.049,1.352,214.140,8.320
17:13:52.145,1,64,12.510,22.251,13.866,0.962,13.537,0.049,1.969,211.950,8.340
17:13:54.291,1,256,10.710,26.961,11.900,1.108,11.575,0.050,2.017,212.100,8.330
17:13:56.441,1,1024,12.490,21.761,13.784,0.903,13.456,0.049,2.143,216.520,9.932
17:13:58.589,1,4096,12.720,21.201,13.973,0.904,13.653,0.051,2.606,216.850,8.616
17:14:00.738,1,16384,13.300,21.581,14.599,0.923,14.265,0.050,3.624,220.700,8.585
17:14:02.893,1,65536,15.460,35.101,16.922,1.144,16.597,0.050,7.259,215.990,8.881
17:14:05.061,1,262144,23.461,31.861,25.121,1.105,24.797,0.050,16.619,222.340,8.034
17:14:07.306,1,1048576,62.792,73.032,65.293,1.093,64.916,0.060,53.931,215.760,8.207

17:14:09.325,2,1,12.130,25.381,13.441,0.957,13.117,0.050,1.386,218.870,8.197
17:14:11.473,2,4,8.057,14.226,8.831,0.611,8.615,0.033,0.923,214.130,7.922
17:14:13.619,2,16,12.520,29.431,13.899,1.116,13.568,0.051,1.368,211.830,8.197
17:14:15.768,2,64,12.100,20.351,13.373,0.829,13.046,0.050,1.977,214.300,8.493
17:14:17.915,2,256,12.171,20.701,13.441,0.873,13.117,0.049,2.022,218.280,8.177
17:14:20.062,2,1024,12.250,20.341,13.553,0.878,13.225,0.050,2.141,216.330,7.768
17:14:22.212,2,4096,12.680,20.911,14.041,0.909,13.710,0.050,2.585,220.530,8.381
17:14:24.360,2,16384,11.880,20.391,14.240,0.845,13.911,0.049,3.606,206.800,8.197
17:14:26.513,2,65536,13.740,21.690,15.041,0.884,14.716,0.050,7.707,206.220,9.657
17:14:28.685,2,262144,24.321,31.761,25.819,0.909,25.498,0.050,17.405,217.490,8.636
17:14:30.928,2,1048576,62.262,80.212,65.241,1.631,64.865,0.059,54.021,216.430,8.759

17:14:32.947,3,1,12.071,20.691,13.450,0.893,13.125,0.050,1.371,211.350,9.453
17:14:35.094,3,4,11.260,28.901,13.325,1.037,13.001,0.049,1.370,211.370,8.412
17:14:37.241,3,16,12.460,23.081,13.472,0.833,13.136,0.050,1.382,220.710,8.065
17:14:39.390,3,64,12.220,28.801,13.610,1.048,13.280,0.049,1.994,220.780,8.943
17:14:41.538,3,256,12.090,21.921,13.378,0.921,13.053,0.050,1.990,211.720,9.371
17:14:43.686,3,1024,12.551,20.070,13.824,0.843,13.502,0.049,2.163,220.320,9.351
17:14:45.833,3,4096,12.351,30.711,13.901,1.135,13.579,0.050,2.569,214.760,8.636
17:14:47.983,3,16384,13.210,24.151,14.538,0.890,14.206,0.050,3.598,216.570,8.922
17:14:50.138,3,65536,15.520,24.071,16.874,0.900,16.553,0.050,7.121,221.190,8.340
17:14:52.308,3,262144,24.801,40.251,26.134,1.063,25.801,0.049,17.508,215.030,8.065
17:14:54.552,3,1048576,63.652,73.632,65.603,1.328,65.220,0.056,53.815,217.180,8.453

