timestamp,repetition,size_bytes,min_us,max_us,avg_us,std_dev,avg_buffer_setup,avg_wr_setup,avg_poll,window_init,rvsocket_setup
17:51:39.253,1,1,10.690,975.702,19.177,71.770,18.835,0.049,4168.288,213.550,26.429
17:51:41.398,1,4,12.400,58.760,13.746,1.925,13.394,0.049,1823.427,210.610,8.800
17:51:43.545,1,16,11.040,51.650,12.332,1.693,12.002,0.050,1826.916,213.940,8.259
17:51:45.694,1,64,12.510,60.080,13.809,1.871,13.478,0.049,1828.869,213.220,9.238
17:51:49.984,1,256,12.530,62.500,13.837,1.796,13.512,0.050,2165.100,218.870,26.797
17:51:52.137,1,1024,12.290,21.490,13.578,0.889,13.251,0.049,2.149,213.800,7.942
17:51:56.426,1,4096,12.390,52.790,13.787,1.551,13.459,0.050,2165.634,213.260,7.636
17:51:58.618,1,16384,11.960,1463.864,50.320,176.098,49.990,0.049,3.537,219.210,8.330
17:52:00.767,1,65536,15.360,1034.093,47.057,160.112,46.730,0.050,7.842,215.120,8.238
17:52:02.928,1,262144,24.770,1307.753,48.410,148.402,48.073,0.051,16.615,218.140,8.422
17:52:05.150,1,1048576,61.790,71.890,64.587,1.335,64.224,0.050,54.174,219.320,8.177

17:52:07.168,2,1,12.530,22.200,13.723,0.845,13.392,0.050,1.367,211.450,7.646
17:52:11.457,2,4,12.460,52.260,13.834,1.586,13.514,0.049,2164.209,211.420,9.565
17:52:13.611,2,16,12.500,24.120,13.703,0.962,13.378,0.049,1.399,219.350,9.953
17:52:15.758,2,64,12.510,21.330,13.769,0.845,13.437,0.052,1.996,211.620,8.973
17:52:17.906,2,256,12.530,21.730,13.794,0.877,13.469,0.049,2.000,220.370,9.922
17:52:22.195,2,1024,12.530,52.180,13.864,1.558,13.538,0.050,2165.298,214.830,9.361
17:52:24.348,2,4096,11.400,21.630,12.636,0.865,12.307,0.049,2.570,219.450,8.473
17:52:28.639,2,16384,11.560,49.340,12.891,1.544,12.567,0.049,2166.567,206.760,8.320
17:52:30.800,2,65536,15.400,22.440,16.761,0.959,16.430,0.050,7.311,210.090,9.943
17:52:32.971,2,262144,23.640,31.020,25.268,0.926,24.938,0.049,17.248,213.670,9.259
17:52:35.217,2,1048576,62.550,74.390,65.096,1.353,64.703,0.066,54.798,222.840,7.758

17:52:37.233,3,1,12.510,21.700,13.776,0.891,13.455,0.050,1.394,217.110,8.504
17:52:41.522,3,4,11.110,49.340,12.359,1.526,12.034,0.050,2164.763,219.840,8.871
17:52:43.676,3,16,12.360,21.010,13.582,0.884,13.252,0.050,1.363,215.860,8.156
17:52:47.965,3,64,10.900,52.870,13.848,1.582,13.526,0.049,2164.850,220.410,8.473
17:52:50.118,3,256,12.460,21.090,13.723,0.862,13.400,0.049,2.008,214.580,7.993
17:52:54.407,3,1024,11.160,54.160,12.497,1.619,12.163,0.050,2165.858,216.620,8.524
17:52:56.561,3,4096,12.760,20.990,13.698,0.790,13.372,0.049,2.569,217.820,8.299
17:53:02.995,3,16384,13.360,53.560,14.819,1.938,14.489,0.050,4329.135,217.350,7.963
17:53:05.159,3,65536,14.100,22.040,15.360,0.860,15.040,0.050,7.422,217.610,7.963
17:53:07.331,3,262144,25.210,33.310,26.580,0.931,26.241,0.059,16.797,216.170,8.034
17:53:09.575,3,1048576,62.990,83.520,65.434,1.622,65.039,0.064,54.965,216.950,8.177

17:53:13.734,4,1,12.470,54.350,13.751,1.593,13.415,0.050,2164.305,213.570,8.973
17:53:15.888,4,4,12.400,20.780,13.607,0.846,13.278,0.049,1.392,213.650,9.800
17:53:20.177,4,16,12.520,51.450,13.854,1.577,13.528,0.049,2164.511,216.530,8.422
17:53:22.331,4,64,12.520,20.460,13.398,0.727,13.078,0.049,1.968,215.050,8.605
17:53:26.620,4,256,12.500,61.150,13.850,1.751,13.508,0.049,2164.987,215.810,8.310
17:53:28.774,4,1024,12.550,21.020,13.860,0.862,13.526,0.049,2.129,220.230,8.555
17:53:33.064,4,4096,12.770,49.440,14.170,1.508,13.843,0.049,2165.498,216.530,8.177
17:53:35.219,4,16384,13.360,22.040,14.393,0.871,14.068,0.049,3.606,212.680,8.350
17:53:37.372,4,65536,15.240,23.730,16.165,0.821,15.842,0.049,7.196,204.680,8.350
17:53:39.544,4,262144,24.330,32.800,25.764,0.972,25.436,0.050,16.776,209.090,8.024
17:53:41.789,4,1048576,41.488,49.206,42.778,0.825,42.530,0.038,36.217,221.190,8.381

17:53:45.948,5,1,12.550,47.440,13.534,1.402,13.201,0.050,2164.396,218.600,8.146
17:53:48.102,5,4,12.510,21.220,13.726,0.863,13.393,0.055,1.379,214.750,9.014
17:53:52.392,5,16,12.450,51.780,13.811,1.565,13.487,0.049,2164.440,218.270,8.095
17:53:54.545,5,64,12.510,34.030,13.805,1.117,13.481,0.049,1.968,219.910,8.350
17:53:58.834,5,256,12.390,58.440,13.760,1.709,13.426,0.049,2165.078,220.040,8.075
17:54:00.987,5,1024,12.580,20.870,13.524,0.814,13.192,0.052,2.125,216.130,8.157
17:54:05.276,5,4096,12.640,50.790,13.965,1.486,13.638,0.049,2165.633,214.930,9.147
17:54:07.432,5,16384,13.250,21.840,14.543,0.892,14.218,0.049,3.348,213.980,8.167
17:54:09.587,5,65536,15.550,22.800,16.499,0.816,16.178,0.050,7.358,214.270,8.350
17:54:11.758,5,262144,24.730,33.270,26.229,1.145,25.898,0.050,17.359,216.430,9.310
17:54:14.001,5,1048576,61.280,72.130,64.542,1.136,64.162,0.061,54.493,209.730,8.248

17:54:18.161,6,1,12.580,52.470,13.906,1.589,13.561,0.051,2164.176,211.200,8.197
17:54:20.314,6,4,12.480,20.920,13.682,0.845,13.347,0.049,1.355,217.490,8.228
17:54:24.603,6,16,12.420,52.950,13.708,1.596,13.384,0.049,2164.467,217.830,8.014
17:54:26.758,6,64,12.490,21.310,13.788,0.833,13.458,0.049,1.978,216.220,10.800
17:54:31.046,6,256,12.150,56.420,13.460,1.658,13.128,0.049,2165.217,205.130,8.279
17:54:33.200,6,1024,12.560,21.510,13.559,0.850,13.227,0.049,2.158,218.380,9.085
17:54:37.491,6,4096,12.730,52.010,14.158,1.772,13.828,0.049,2165.457,215.830,8.289
17:54:39.645,6,16384,13.380,23.330,14.657,0.895,14.333,0.049,3.617,211.550,8.891
17:54:41.799,6,65536,14.950,21.570,16.234,0.838,15.914,0.051,7.792,208.100,7.748
17:54:43.969,6,262144,24.430,31.720,25.879,0.939,25.553,0.049,16.730,208.730,7.901
17:54:46.213,6,1048576,61.960,71.900,64.226,1.555,63.852,0.060,54.275,219.080,8.075

17:54:50.373,7,1,12.470,50.900,13.826,1.587,13.504,0.049,2164.213,212.990,8.269
17:54:52.526,7,4,12.210,20.000,13.045,0.717,12.713,0.049,1.371,212.080,8.983
17:54:56.816,7,16,12.560,50.050,13.831,1.507,13.501,0.049,2164.527,215.240,8.330
17:54:58.970,7,64,12.510,21.040,13.749,0.838,13.415,0.050,1.955,225.400,8.983
17:55:03.259,7,256,12.100,62.680,13.423,1.819,13.097,0.049,2165.140,201.390,7.625
17:55:05.412,7,1024,11.240,21.700,13.833,0.894,13.504,0.049,2.160,216.520,9.269
17:55:09.702,7,4096,12.670,52.180,14.006,1.511,13.678,0.049,2165.497,215.250,7.901
17:55:11.857,7,16384,13.290,21.950,14.608,0.919,14.283,0.049,3.336,213.920,8.504
17:55:14.012,7,65536,15.520,23.800,16.832,0.885,16.510,0.050,7.626,217.190,8.167
17:55:16.183,7,262144,24.760,32.520,26.172,0.919,25.848,0.050,16.827,221.880,8.963
17:55:18.425,7,1048576,62.410,71.530,64.808,1.307,64.440,0.050,53.773,217.600,8.095

17:55:22.585,8,1,12.480,45.160,13.789,1.418,13.465,0.049,2164.221,214.300,7.901
17:55:24.739,8,4,12.440,21.280,13.718,0.893,13.390,0.049,1.394,220.150,8.432
17:55:29.029,8,16,8.281,32.861,9.070,0.977,8.857,0.033,1434.057,217.020,8.065
17:55:31.182,8,64,12.540,21.840,13.854,0.873,13.526,0.049,1.985,219.410,8.228
17:55:35.471,8,256,12.550,63.260,13.908,1.852,13.580,0.049,2165.052,216.070,7.860
17:55:37.626,8,1024,12.590,23.460,13.857,0.891,13.535,0.049,2.153,220.560,7.973
17:55:41.915,8,4096,12.750,52.810,14.160,1.554,13.830,0.050,2165.455,214.470,7.626
17:55:44.070,8,16384,13.260,22.070,14.596,0.915,14.262,0.050,3.619,212.500,7.666
17:55:46.224,8,65536,15.490,24.420,16.842,0.976,16.521,0.049,7.221,215.030,7.840
17:55:48.394,8,262144,24.820,32.810,26.314,0.969,25.976,0.050,16.686,213.360,8.095
17:55:50.636,8,1048576,61.280,72.440,63.546,1.401,63.162,0.059,54.028,215.850,9.208

17:55:54.797,9,1,12.430,50.420,13.621,1.552,13.290,0.050,2164.244,213.440,10.402
17:55:56.951,9,4,12.510,21.480,13.698,0.830,13.371,0.049,1.396,222.350,8.156
17:56:01.240,9,16,12.320,49.170,13.505,1.472,13.164,0.049,2164.699,214.730,8.177
17:56:03.394,9,64,12.270,22.590,13.518,0.864,13.187,0.050,1.955,211.220,7.810
17:56:07.683,9,256,12.380,60.840,13.722,1.748,13.389,0.049,2165.022,212.480,8.065
17:56:09.837,9,1024,12.530,21.380,13.852,0.904,13.522,0.049,2.171,220.850,8.310
17:56:14.126,9,4096,10.210,54.710,13.947,1.582,13.618,0.049,2165.518,213.410,8.157
