timestamp,repetition,size_bytes,min_us,max_us,avg_us,std_dev,avg_buffer_setup,avg_wr_setup,avg_poll,window_init,rvsocket_setup
17:51:55.021,1,1,10.890,1008.833,22.413,87.874,22.088,0.050,2164.467,215.220,26.409
17:51:57.165,1,4,12.330,20.950,13.576,0.904,13.252,0.050,1.396,217.290,9.402
17:51:59.312,1,16,12.290,22.290,13.488,0.855,13.160,0.049,1.379,211.670,8.136
17:52:01.460,1,64,12.360,22.050,13.615,0.871,13.287,0.049,1.968,214.870,7.830
17:52:03.607,1,256,11.050,20.530,12.299,0.899,11.969,0.050,1.989,215.380,8.401
17:52:05.755,1,1024,12.500,21.540,13.818,1.021,13.494,0.049,2.136,207.960,8.340
17:52:07.904,1,4096,12.100,20.480,13.412,0.840,13.088,0.049,2.585,210.630,7.891
17:52:10.089,1,16384,13.250,1280.673,50.571,175.155,50.240,0.050,3.606,214.080,8.095
17:52:12.238,1,65536,15.490,1076.253,48.507,164.143,48.183,0.050,7.352,214.020,8.157
17:52:14.401,1,262144,24.700,1283.643,48.902,150.227,48.574,0.051,17.204,218.520,8.279
17:52:16.621,1,1048576,62.230,80.720,64.787,1.422,64.408,0.058,54.738,213.170,9.208

17:52:20.775,2,1,11.150,60.980,12.467,1.956,12.136,0.049,2159.394,219.770,8.279
17:52:22.934,2,4,12.250,26.950,13.522,0.976,13.190,0.049,1.393,214.540,10.443
17:52:27.224,2,16,12.010,50.710,13.844,1.565,13.519,0.050,2164.477,218.970,8.514
17:52:29.377,2,64,12.420,20.790,13.648,0.834,13.327,0.049,1.946,213.900,9.085
17:52:35.808,2,256,10.770,56.360,12.164,2.029,11.830,0.050,4329.962,213.540,8.453
17:52:37.968,2,1024,12.410,21.100,13.783,0.921,13.462,0.049,2.115,211.410,8.779
17:52:40.116,2,4096,12.750,22.560,14.030,0.863,13.698,0.050,2.561,213.230,8.545
17:52:42.265,2,16384,13.300,21.670,14.664,0.871,14.337,0.049,3.316,219.040,8.422
17:52:44.420,2,65536,15.230,22.850,16.576,0.889,16.240,0.050,7.503,213.620,7.993
17:52:46.590,2,262144,24.790,32.690,26.316,1.006,25.995,0.050,17.594,211.960,8.320
17:52:48.833,2,1048576,62.290,71.800,64.966,1.263,64.581,0.060,53.877,216.380,7.810

17:52:50.852,3,1,12.520,22.080,13.440,0.777,13.116,0.049,1.390,216.450,8.677
17:52:53.000,3,4,12.270,21.240,13.533,0.906,13.206,0.049,1.371,214.130,8.024
17:52:55.147,3,16,12.320,34.400,13.610,1.089,13.283,0.050,1.357,213.400,9.106
17:52:57.295,3,64,12.460,21.530,13.777,0.892,13.449,0.050,1.972,218.230,8.401
17:52:59.443,3,256,12.430,21.250,13.757,0.945,13.428,0.050,2.012,215.530,8.075
17:53:03.732,3,1024,12.510,52.840,13.799,1.738,13.471,0.049,2165.435,213.210,8.218
17:53:08.027,3,4096,11.420,51.520,12.732,1.557,12.389,0.050,2166.008,218.450,7.952
17:53:10.183,3,16384,13.300,22.870,14.671,0.946,14.346,0.050,3.650,211.340,8.922
17:53:12.336,3,65536,15.300,29.310,16.622,0.963,16.286,0.052,7.517,213.610,8.156
17:53:14.508,3,262144,24.450,31.790,25.957,0.925,25.626,0.049,17.599,207.590,9.974
17:53:16.750,3,1048576,61.500,70.540,63.867,1.395,63.504,0.059,53.852,216.810,8.453

17:53:18.770,4,1,12.570,21.930,13.785,0.873,13.453,0.049,1.378,212.380,8.095
17:53:20.917,4,4,12.450,21.920,13.751,0.888,13.418,0.054,1.394,214.090,7.860
17:53:23.063,4,16,11.160,31.410,12.429,1.040,12.105,0.049,1.377,214.250,8.483
17:53:25.212,4,64,12.210,21.690,13.472,0.885,13.138,0.049,1.971,211.260,7.656
17:53:27.360,4,256,12.540,21.790,13.777,0.848,13.449,0.049,2.010,218.380,9.034
17:53:29.508,4,1024,12.530,21.240,13.773,0.841,13.444,0.049,2.139,218.330,9.249
17:53:31.655,4,4096,12.670,21.690,13.941,0.882,13.612,0.049,2.561,220.120,8.013
17:53:33.805,4,16384,13.180,33.540,14.583,1.111,14.257,0.050,3.626,211.420,8.738
17:53:35.959,4,65536,10.220,15.678,10.872,0.521,10.658,0.035,4.985,215.790,8.024
17:53:38.133,4,262144,24.800,40.420,26.353,1.156,26.025,0.049,17.323,208.640,8.677
17:53:40.374,4,1048576,61.220,71.910,63.832,1.457,63.455,0.054,53.813,213.590,8.320

17:53:42.394,5,1,12.460,21.790,13.793,0.968,13.463,0.050,1.395,212.980,8.269
17:53:44.541,5,4,12.400,21.150,13.693,0.868,13.372,0.050,1.361,211.660,8.616
17:53:46.688,5,16,12.460,21.530,13.736,0.902,13.412,0.049,1.399,214.870,9.432
17:53:50.974,5,64,12.550,49.880,13.866,1.456,13.538,0.050,2159.074,212.580,9.300
17:53:53.133,5,256,12.450,21.190,13.777,0.911,13.452,0.049,2.023,211.380,8.820
17:53:55.279,5,1024,12.450,28.630,13.778,0.998,13.450,0.049,2.166,214.500,9.585
17:53:57.427,5,4096,10.480,20.980,13.986,0.929,13.660,0.049,2.571,215.730,8.310
17:53:59.576,5,16384,12.860,23.700,14.618,0.991,14.292,0.049,3.485,220.470,11.229
17:54:01.731,5,65536,15.680,39.200,17.011,1.195,16.685,0.050,7.524,213.350,8.483
17:54:03.901,5,262144,23.450,31.120,24.600,0.931,24.273,0.050,17.171,221.680,8.381
17:54:06.144,5,1048576,61.140,94.310,64.184,1.605,63.802,0.064,54.326,220.060,8.340

17:54:10.299,6,1,11.120,56.900,12.481,1.692,12.158,0.049,2159.474,210.820,8.156
17:54:12.459,6,4,12.560,20.500,13.784,0.829,13.457,0.050,1.396,221.690,8.932
17:54:14.606,6,16,12.510,35.840,13.869,1.216,13.540,0.049,1.382,215.220,8.105
17:54:16.754,6,64,12.450,29.030,13.750,0.976,13.416,0.050,1.977,217.340,8.034
17:54:18.903,6,256,12.350,28.780,13.644,1.074,13.313,0.049,2.014,210.810,7.963
17:54:21.049,6,1024,12.550,21.810,13.531,0.844,13.208,0.049,2.147,212.040,9.330
17:54:23.197,6,4096,12.410,22.120,13.678,0.850,13.352,0.049,2.557,208.900,8.044
17:54:25.347,6,16384,13.070,30.690,14.783,1.157,14.457,0.051,3.614,213.300,8.269
17:54:27.501,6,65536,13.910,23.350,16.859,0.919,16.534,0.053,7.408,218.290,8.197
17:54:29.669,6,262144,23.440,29.790,24.842,0.913,24.513,0.054,16.431,212.360,8.422
17:54:31.916,6,1048576,62.370,80.890,65.125,1.516,64.756,0.058,54.263,221.620,8.146

17:54:33.933,7,1,12.540,32.350,13.774,1.125,13.447,0.050,1.381,212.740,7.748
17:54:36.081,7,4,12.540,29.720,13.580,1.037,13.251,0.050,1.360,214.040,8.187
17:54:38.228,7,16,12.510,21.850,13.738,0.819,13.401,0.049,1.362,217.900,8.157
17:54:40.376,7,64,12.270,28.470,13.802,1.092,13.477,0.049,1.974,217.490,8.228
17:54:42.523,7,256,11.790,19.630,12.807,0.789,12.483,0.049,2.030,210.360,7.585
17:54:44.671,7,1024,12.450,20.680,13.697,0.841,13.370,0.050,2.122,217.450,8.830
17:54:48.955,7,4096,12.710,45.780,14.177,1.569,13.844,0.049,2159.863,215.350,10.739
17:54:51.115,7,16384,11.980,20.730,13.355,0.901,13.029,0.049,3.316,219.000,7.952
17:54:53.272,7,65536,15.510,24.030,16.870,0.980,16.546,0.050,7.641,213.800,8.943
